M,FPC,cadena,media,max,p99,N_trunc,toca_truncamiento
4,1,1,9.004666666666667,35,35.0,35,True
4,1,2,9.341333333333333,35,35.0,35,True
4,1,3,8.368666666666666,35,35.0,35,True
4,2,1,12.33,31,22.0,35,False
4,2,2,12.160666666666666,35,24.0,35,True
4,2,3,11.957333333333333,29,22.0,35,False
4,3,1,12.995333333333333,35,24.00999999999999,35,True
4,3,2,11.33,30,21.0,35,False
4,3,3,12.434,32,23.0,35,False
4,4,1,11.807333333333334,33,20.0,35,False
4,4,2,11.230666666666666,32,18.0,35,False
4,4,3,11.027333333333333,26,20.0,35,False
