metrica,bloque,columna,minimo,maximo,promedio,M
1. MAE  (L^1),train,mae_f,0.004401945819974347,0.034471405109520056,0.011511529796393492,4
1. MAE  (L^1),test,mae_f,0.0038694069024890554,0.017633325252438402,0.008908845774956115,4
2. RMSE (L^2),train,rmse_f,0.006396513855957487,0.055050719425260575,0.01863515179881397,4
2. RMSE (L^2),test,rmse_f,0.005078261592886065,0.0262656536106009,0.014054528418641292,4
3. E_max promedio por curva,train,linf_medio,0.013698631653453992,0.10643565281833615,0.04190323742445891,4
3. E_max promedio por curva,test,linf_medio,0.012154726957551343,0.06851320682903449,0.035211306237313174,4
4. E_max peor de la ventana,train,linf_max,0.020757872731877236,0.3442550692091296,0.13479021615706716,4
4. E_max peor de la ventana,test,linf_max,0.024260914094295982,0.2074485968645705,0.11621176675030703,4
5. MPIW,train,mpiw,0.07986194126880573,0.16924673436005194,0.09628947625848115,4
5. MPIW,test,mpiw,0.07960292306342792,0.09587035648123256,0.08447257308202467,4
6. PICP puntual,train,picp,0.9010204081632653,1.0,0.9802786157941437,4
6. PICP puntual,test,picp,0.936734693877551,1.0,0.9802966101694917,4
7. PICPB curva completa,train,picp_simultaneo,0.35,1.0,0.7260869565217392,4
7. PICPB curva completa,test,picp_simultaneo,0.3,1.0,0.7423728813559324,4
8. Winkler,train,winkler,0.08101747491356479,0.3661129106436148,0.1294009334373768,4
8. Winkler,test,winkler,0.07936711654434128,0.18495107495254276,0.10256454017602606,4
9. Winkler max promedio,train,winkler_max_medio,0.11761344910392499,1.4328747810807736,0.5902089050632062,4
9. Winkler max promedio,test,winkler_max_medio,0.1049591669251686,1.3032398637863216,0.4856195921373015,4
10. Winkler max peor ventana,train,winkler_max_glob,0.13933889711071623,11.866544168021093,3.5498832873139756,4
10. Winkler max peor ventana,test,winkler_max_glob,0.11404726348212058,6.199781443622332,3.0736067520081387,4
