M,metrica,columna,modelo,bloque,minimo,maximo,promedio
4,1. MAE  (L^1),mae_f,(truncamiento FPCA),test,0.0020155429833935367,0.008647589193394891,0.0047711717164502
4,1. MAE  (L^1),mae_f,(truncamiento FPCA),train,0.0019227834899722906,0.011361590353371979,0.005248492550750767
4,1. MAE  (L^1),mae_f,FAR,test,0.0039713461670162495,0.015437490796075898,0.009100946837881409
4,1. MAE  (L^1),mae_f,FAR,train,0.003728454387331761,0.030046380873023814,0.01082303557419175
4,1. MAE  (L^1),mae_f,GBT,test,0.005822479282111476,0.02016926529609604,0.010891443379275166
4,1. MAE  (L^1),mae_f,GBT,train,0.0040255480564688004,0.015358036987285209,0.007076550282021353
4,1. MAE  (L^1),mae_f,PSBPM-FD,test,0.0036181978580145354,0.017486818367940714,0.008762591681033096
4,1. MAE  (L^1),mae_f,PSBPM-FD,train,0.004400407061660747,0.0341111255031186,0.01141936257328271
4,1. MAE  (L^1),mae_f,RF,test,0.00399525990772052,0.025156783384877944,0.011734219314047084
4,1. MAE  (L^1),mae_f,RF,train,0.004280725283845604,0.04136588715956134,0.012950546028471547
4,1. MAE  (L^1),mae_f,media,test,0.0055509435971332005,0.08843635500463427,0.036490331557772156
4,1. MAE  (L^1),mae_f,media,train,0.009816782581874559,0.24699457282913176,0.08470204499707983
4,1. MAE  (L^1),mae_f,persistencia,test,0.002821972827638353,0.021164554290459665,0.00984680237351902
4,1. MAE  (L^1),mae_f,persistencia,train,0.003649816508350009,0.0447228455350977,0.012905165398102278
4,2. RMSE (L^2),rmse_f,(truncamiento FPCA),test,0.0030566192112321086,0.014339353761122418,0.008480707465160534
4,2. RMSE (L^2),rmse_f,(truncamiento FPCA),train,0.0027826383672400657,0.016341092035262093,0.009488176369158203
4,2. RMSE (L^2),rmse_f,FAR,test,0.0050458832115168216,0.029781527417927063,0.014250822330552058
4,2. RMSE (L^2),rmse_f,FAR,train,0.005652537839553307,0.04776388787460702,0.0178894824429812
4,2. RMSE (L^2),rmse_f,GBT,test,0.007172240215103938,0.026782159073362066,0.01600998706151152
