M,metrica,bloque,modelo,razon_vs_mejor,razon_vs_FAR
1,1. MAE  (L^1),train,FAR,1.0207456273363122,1.0
1,1. MAE  (L^1),train,RF,1.2703669434809948,1.2517919217206146
1,1. MAE  (L^1),train,GBT,1.3019691571555398,1.2827412333897683
1,1. MAE  (L^1),train,PSBPM-FD,1.8159040133648705,1.7675041563331118
1,1. MAE  (L^1),test,FAR,1.000103620811872,1.0
1,1. MAE  (L^1),test,RF,1.6830820347729518,1.6829756390684598
1,1. MAE  (L^1),test,GBT,1.6811457424217024,1.6810403002917471
1,1. MAE  (L^1),test,PSBPM-FD,1.5270206105422623,1.526913732897111
1,2. RMSE (L^2),train,FAR,1.0267571246591858,1.0
1,2. RMSE (L^2),train,RF,1.227385626655834,1.2037196501191345
1,2. RMSE (L^2),train,GBT,1.2586994224251542,1.2346504513261887
1,2. RMSE (L^2),train,PSBPM-FD,1.5189770569244512,1.469922923888864
1,2. RMSE (L^2),test,FAR,1.0073645232347614,1.0
1,2. RMSE (L^2),test,RF,1.463663690807834,1.4571558973824785
1,2. RMSE (L^2),test,GBT,1.4638779786967768,1.4574410998584377
1,2. RMSE (L^2),test,PSBPM-FD,1.3232676988767713,1.3169511850582627
1,3. E_max promedio por curva,train,FAR,1.040188094999273,1.0
1,3. E_max promedio por curva,train,RF,1.1143569061305194,1.0811586486592384
1,3. E_max promedio por curva,train,GBT,1.126911674473246,1.093538115333297
1,3. E_max promedio por curva,train,PSBPM-FD,1.3202714985156867,1.2600580182558683
1,3. E_max promedio por curva,test,FAR,1.0004083434222126,1.0
1,3. E_max promedio por curva,test,RF,1.3190305585310547,1.3186254105598316
1,3. E_max promedio por curva,test,GBT,1.311058083369573,1.3106649521522156
1,3. E_max promedio por curva,test,PSBPM-FD,1.243599117345783,1.2431969255750033
1,4. E_max peor de la ventana,train,FAR,1.0545890454228195,1.0
1,4. E_max peor de la ventana,train,RF,1.1162185364572639,1.0707637340589544
1,4. E_max peor de la ventana,train,GBT,1.1409068584077273,1.096003633177579
