M,metrica,columna,bloque,banda,pct_ventanas_ganadas,n_ventanas,criterio
1,5. MPIW,mpiw,train,FAR (IC del modelo AR),1.0,1037,menor es mejor
1,5. MPIW,mpiw,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.0,1037,menor es mejor
1,5. MPIW,mpiw,train,PSBPM-FD (predictiva bayesiana),0.0,1037,menor es mejor
1,5. MPIW,mpiw,test,FAR (IC del modelo AR),1.0,435,menor es mejor
1,5. MPIW,mpiw,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.0,435,menor es mejor
1,5. MPIW,mpiw,test,PSBPM-FD (predictiva bayesiana),0.0,435,menor es mejor
1,6. PICP puntual,picp,train,FAR (IC del modelo AR),0.5949855351976856,1037,|valor - nominal|
1,6. PICP puntual,picp,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.05785920925747348,1037,|valor - nominal|
1,6. PICP puntual,picp,train,PSBPM-FD (predictiva bayesiana),0.3471552555448409,1037,|valor - nominal|
1,6. PICP puntual,picp,test,FAR (IC del modelo AR),0.6413793103448275,435,|valor - nominal|
1,6. PICP puntual,picp,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.05747126436781609,435,|valor - nominal|
1,6. PICP puntual,picp,test,PSBPM-FD (predictiva bayesiana),0.30114942528735633,435,|valor - nominal|
1,7. PICPB curva completa,picp_simultaneo,train,FAR (IC del modelo AR),0.5728061716489875,1037,|valor - nominal|
1,7. PICPB curva completa,picp_simultaneo,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.2844744455159113,1037,|valor - nominal|
1,7. PICPB curva completa,picp_simultaneo,train,PSBPM-FD (predictiva bayesiana),0.14271938283510124,1037,|valor - nominal|
1,7. PICPB curva completa,picp_simultaneo,test,FAR (IC del modelo AR),0.41839080459770117,435,|valor - nominal|
1,7. PICPB curva completa,picp_simultaneo,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.17701149425287357,435,|valor - nominal|
1,7. PICPB curva completa,picp_simultaneo,test,PSBPM-FD (predictiva bayesiana),0.4045977011494253,435,|valor - nominal|
1,8. Winkler,winkler,train,FAR (IC del modelo AR),0.9575699132111861,1037,menor es mejor
1,8. Winkler,winkler,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.003857280617164899,1037,menor es mejor
1,8. Winkler,winkler,train,PSBPM-FD (predictiva bayesiana),0.03857280617164899,1037,menor es mejor
1,8. Winkler,winkler,test,FAR (IC del modelo AR),0.9540229885057471,435,menor es mejor
1,8. Winkler,winkler,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.04597701149425287,435,menor es mejor
1,8. Winkler,winkler,test,PSBPM-FD (predictiva bayesiana),0.0,435,menor es mejor
1,9. Winkler max promedio,winkler_max_medio,train,FAR (IC del modelo AR),0.46190935390549664,1037,menor es mejor
1,9. Winkler max promedio,winkler_max_medio,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.3722275795564127,1037,menor es mejor
