metrica,bloque,columna,minimo,maximo,promedio
1. MAE  (L^1),train,mae_f,0.010481128593721712,0.1454729690222833,0.026581324498201938
1. MAE  (L^1),test,mae_f,0.010720621346946114,0.028221808580854147,0.014773393117826052
2. RMSE (L^2),train,rmse_f,0.013652910726190022,0.2294893240060121,0.038406994684098486
2. RMSE (L^2),test,rmse_f,0.013526619715017786,0.05361552076062959,0.020420091850505404
3. E_max promedio por curva,train,linf_medio,0.02410973896853516,0.3404794813629099,0.06697925468165283
3. E_max promedio por curva,test,linf_medio,0.02474552759884584,0.0691794381987426,0.043898808716540394
4. E_max peor de la ventana,train,linf_max,0.03160447397733346,1.9925776363070034,0.1993901993195851
4. E_max peor de la ventana,test,linf_max,0.03658608875560265,0.34384910155233883,0.12835606939287297
5. MPIW,train,mpiw,0.221794395543997,0.4189505287652349,0.28967034512040357
5. MPIW,test,mpiw,0.21972513729109575,0.2566326312466054,0.23667291425954007
6. PICP puntual,train,picp,0.5428571428571428,1.0,0.9665115226418435
6. PICP puntual,test,picp,0.9418367346938775,1.0,0.995228712174525
7. PICPB curva completa,train,picp_simultaneo,0.0,1.0,0.8429122468659597
7. PICPB curva completa,test,picp_simultaneo,0.85,1.0,0.9317241379310345
8. Winkler,train,winkler,0.22178572223141263,2.8735460956253798,0.41721625300121323
8. Winkler,test,winkler,0.22027510582294413,0.42820303675981125,0.2474688247906238
9. Winkler max promedio,train,winkler_max_medio,0.3064403642100945,7.225987103708756,0.9893608826328505
9. Winkler max promedio,test,winkler_max_medio,0.3034568124290307,0.9424685454239226,0.4378944860451344
10. Winkler max peor ventana,train,winkler_max_glob,0.35755112162650127,62.324376391793635,4.411597593406201
10. Winkler max peor ventana,test,winkler_max_glob,0.3705897102021244,9.438284439913136,1.8973287855891174
