t,bloque,banda,I_t_puntual,I_t_simultaneo
2,train,FAR (IC del modelo AR),1.0,1.0
3,train,FAR (IC del modelo AR),1.0,1.0
4,train,FAR (IC del modelo AR),1.0,1.0
5,train,FAR (IC del modelo AR),1.0,1.0
6,train,FAR (IC del modelo AR),1.0,1.0
7,train,FAR (IC del modelo AR),1.0,1.0
8,train,FAR (IC del modelo AR),1.0,1.0
9,train,FAR (IC del modelo AR),1.0,1.0
10,train,FAR (IC del modelo AR),1.0,1.0
11,train,FAR (IC del modelo AR),1.0,1.0
12,train,FAR (IC del modelo AR),1.0,1.0
13,train,FAR (IC del modelo AR),1.0,1.0
14,train,FAR (IC del modelo AR),1.0,1.0
15,train,FAR (IC del modelo AR),1.0,1.0
16,train,FAR (IC del modelo AR),1.0,1.0
17,train,FAR (IC del modelo AR),1.0,1.0
18,train,FAR (IC del modelo AR),1.0,1.0
19,train,FAR (IC del modelo AR),1.0,1.0
20,train,FAR (IC del modelo AR),1.0,1.0
21,train,FAR (IC del modelo AR),1.0,1.0
22,train,FAR (IC del modelo AR),1.0,1.0
23,train,FAR (IC del modelo AR),1.0,1.0
24,train,FAR (IC del modelo AR),1.0,1.0
25,train,FAR (IC del modelo AR),1.0,1.0
26,train,FAR (IC del modelo AR),1.0,1.0
27,train,FAR (IC del modelo AR),1.0,1.0
28,train,FAR (IC del modelo AR),1.0,1.0
29,train,FAR (IC del modelo AR),1.0,1.0
30,train,FAR (IC del modelo AR),1.0,1.0
31,train,FAR (IC del modelo AR),1.0,1.0
32,train,FAR (IC del modelo AR),1.0,1.0
33,train,FAR (IC del modelo AR),1.0,1.0
34,train,FAR (IC del modelo AR),1.0,1.0
35,train,FAR (IC del modelo AR),1.0,1.0
36,train,FAR (IC del modelo AR),1.0,1.0
37,train,FAR (IC del modelo AR),1.0,1.0
38,train,FAR (IC del modelo AR),1.0,1.0
39,train,FAR (IC del modelo AR),1.0,1.0
40,train,FAR (IC del modelo AR),1.0,1.0
41,train,FAR (IC del modelo AR),1.0,1.0
42,train,FAR (IC del modelo AR),1.0,1.0
43,train,FAR (IC del modelo AR),1.0,1.0
44,train,FAR (IC del modelo AR),1.0,1.0
45,train,FAR (IC del modelo AR),1.0,1.0
46,train,FAR (IC del modelo AR),1.0,1.0
47,train,FAR (IC del modelo AR),1.0,1.0
48,train,FAR (IC del modelo AR),1.0,1.0
49,train,FAR (IC del modelo AR),1.0,1.0
50,train,FAR (IC del modelo AR),0.9795918367346939,0.0
51,train,FAR (IC del modelo AR),1.0,1.0
52,train,FAR (IC del modelo AR),1.0,1.0
53,train,FAR (IC del modelo AR),1.0,1.0
54,train,FAR (IC del modelo AR),1.0,1.0
55,train,FAR (IC del modelo AR),1.0,1.0
56,train,FAR (IC del modelo AR),1.0,1.0
57,train,FAR (IC del modelo AR),1.0,1.0
58,train,FAR (IC del modelo AR),1.0,1.0
59,train,FAR (IC del modelo AR),1.0,1.0
60,train,FAR (IC del modelo AR),1.0,1.0
61,train,FAR (IC del modelo AR),1.0,1.0
62,train,FAR (IC del modelo AR),1.0,1.0
63,train,FAR (IC del modelo AR),1.0,1.0
64,train,FAR (IC del modelo AR),1.0,1.0
65,train,FAR (IC del modelo AR),1.0,1.0
66,train,FAR (IC del modelo AR),1.0,1.0
67,train,FAR (IC del modelo AR),1.0,1.0
68,train,FAR (IC del modelo AR),1.0,1.0
69,train,FAR (IC del modelo AR),1.0,1.0
70,train,FAR (IC del modelo AR),1.0,1.0
71,train,FAR (IC del modelo AR),1.0,1.0
72,train,FAR (IC del modelo AR),1.0,1.0
73,train,FAR (IC del modelo AR),1.0,1.0
74,train,FAR (IC del modelo AR),1.0,1.0
75,train,FAR (IC del modelo AR),1.0,1.0
76,train,FAR (IC del modelo AR),1.0,1.0
77,train,FAR (IC del modelo AR),1.0,1.0
78,train,FAR (IC del modelo AR),1.0,1.0
79,train,FAR (IC del modelo AR),1.0,1.0
80,train,FAR (IC del modelo AR),1.0,1.0
81,train,FAR (IC del modelo AR),1.0,1.0
82,train,FAR (IC del modelo AR),1.0,1.0
83,train,FAR (IC del modelo AR),1.0,1.0
84,train,FAR (IC del modelo AR),1.0,1.0
85,train,FAR (IC del modelo AR),1.0,1.0
86,train,FAR (IC del modelo AR),1.0,1.0
87,train,FAR (IC del modelo AR),1.0,1.0
88,train,FAR (IC del modelo AR),1.0,1.0
89,train,FAR (IC del modelo AR),1.0,1.0
90,train,FAR (IC del modelo AR),1.0,1.0
91,train,FAR (IC del modelo AR),1.0,1.0
92,train,FAR (IC del modelo AR),1.0,1.0
93,train,FAR (IC del modelo AR),1.0,1.0
94,train,FAR (IC del modelo AR),1.0,1.0
95,train,FAR (IC del modelo AR),1.0,1.0
96,train,FAR (IC del modelo AR),1.0,1.0
97,train,FAR (IC del modelo AR),1.0,1.0
98,train,FAR (IC del modelo AR),1.0,1.0
99,train,FAR (IC del modelo AR),1.0,1.0
100,train,FAR (IC del modelo AR),1.0,1.0
101,train,FAR (IC del modelo AR),1.0,1.0
102,train,FAR (IC del modelo AR),1.0,1.0
103,train,FAR (IC del modelo AR),1.0,1.0
