t,bloque,banda,I_t_puntual,I_t_simultaneo
5,train,PSBPM-FD (predictiva bayesiana),0.8266666666666667,0.0
6,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
7,train,PSBPM-FD (predictiva bayesiana),0.92,0.0
8,train,PSBPM-FD (predictiva bayesiana),0.96,0.0
9,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
10,train,PSBPM-FD (predictiva bayesiana),0.8933333333333333,0.0
11,train,PSBPM-FD (predictiva bayesiana),0.9866666666666667,0.0
12,train,PSBPM-FD (predictiva bayesiana),0.84,0.0
13,train,PSBPM-FD (predictiva bayesiana),0.96,0.0
14,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
15,train,PSBPM-FD (predictiva bayesiana),0.88,0.0
16,train,PSBPM-FD (predictiva bayesiana),0.8,0.0
17,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
18,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
19,train,PSBPM-FD (predictiva bayesiana),0.9733333333333334,0.0
20,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
21,train,PSBPM-FD (predictiva bayesiana),0.9866666666666667,0.0
22,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
23,train,PSBPM-FD (predictiva bayesiana),0.8933333333333333,0.0
24,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
25,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
26,train,PSBPM-FD (predictiva bayesiana),0.92,0.0
27,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
28,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
29,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
30,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
31,train,PSBPM-FD (predictiva bayesiana),0.8666666666666667,0.0
32,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
33,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
34,train,PSBPM-FD (predictiva bayesiana),0.84,0.0
35,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
36,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
37,train,PSBPM-FD (predictiva bayesiana),0.84,0.0
38,train,PSBPM-FD (predictiva bayesiana),0.7733333333333333,0.0
39,train,PSBPM-FD (predictiva bayesiana),0.7466666666666667,0.0
40,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
41,train,PSBPM-FD (predictiva bayesiana),0.9066666666666666,0.0
42,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
43,train,PSBPM-FD (predictiva bayesiana),0.7733333333333333,0.0
44,train,PSBPM-FD (predictiva bayesiana),0.92,0.0
45,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
46,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
47,train,PSBPM-FD (predictiva bayesiana),0.9333333333333333,0.0
48,train,PSBPM-FD (predictiva bayesiana),0.6266666666666667,0.0
49,train,PSBPM-FD (predictiva bayesiana),0.9866666666666667,0.0
50,train,PSBPM-FD (predictiva bayesiana),0.96,0.0
51,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
52,train,PSBPM-FD (predictiva bayesiana),0.9733333333333334,0.0
53,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
54,train,PSBPM-FD (predictiva bayesiana),0.9866666666666667,0.0
55,train,PSBPM-FD (predictiva bayesiana),0.9866666666666667,0.0
56,train,PSBPM-FD (predictiva bayesiana),0.92,0.0
57,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
58,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
59,train,PSBPM-FD (predictiva bayesiana),0.48,0.0
60,train,PSBPM-FD (predictiva bayesiana),0.84,0.0
61,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
62,train,PSBPM-FD (predictiva bayesiana),0.92,0.0
63,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
64,train,PSBPM-FD (predictiva bayesiana),0.8933333333333333,0.0
65,train,PSBPM-FD (predictiva bayesiana),0.96,0.0
66,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
67,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
68,train,PSBPM-FD (predictiva bayesiana),0.7333333333333333,0.0
69,train,PSBPM-FD (predictiva bayesiana),0.9866666666666667,0.0
70,train,PSBPM-FD (predictiva bayesiana),0.9866666666666667,0.0
71,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
72,train,PSBPM-FD (predictiva bayesiana),0.92,0.0
73,train,PSBPM-FD (predictiva bayesiana),0.9466666666666667,0.0
74,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
75,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
76,train,PSBPM-FD (predictiva bayesiana),0.92,0.0
77,train,PSBPM-FD (predictiva bayesiana),0.88,0.0
78,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
79,train,PSBPM-FD (predictiva bayesiana),0.8666666666666667,0.0
80,train,PSBPM-FD (predictiva bayesiana),0.9733333333333334,0.0
81,train,PSBPM-FD (predictiva bayesiana),0.8266666666666667,0.0
82,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
83,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
84,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
85,train,PSBPM-FD (predictiva bayesiana),0.9466666666666667,0.0
86,train,PSBPM-FD (predictiva bayesiana),0.88,0.0
87,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
88,train,PSBPM-FD (predictiva bayesiana),0.9866666666666667,0.0
89,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
90,train,PSBPM-FD (predictiva bayesiana),0.9866666666666667,0.0
91,train,PSBPM-FD (predictiva bayesiana),0.9333333333333333,0.0
92,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
93,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
94,train,PSBPM-FD (predictiva bayesiana),0.9866666666666667,0.0
95,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
96,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
97,train,PSBPM-FD (predictiva bayesiana),0.92,0.0
98,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
99,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
100,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
101,train,PSBPM-FD (predictiva bayesiana),0.9066666666666666,0.0
102,train,PSBPM-FD (predictiva bayesiana),0.9866666666666667,0.0
103,train,PSBPM-FD (predictiva bayesiana),0.8266666666666667,0.0
104,train,PSBPM-FD (predictiva bayesiana),0.6533333333333333,0.0
105,train,PSBPM-FD (predictiva bayesiana),0.8533333333333334,0.0
106,train,PSBPM-FD (predictiva bayesiana),0.9466666666666667,0.0
107,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
108,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
109,train,PSBPM-FD (predictiva bayesiana),0.96,0.0
110,train,PSBPM-FD (predictiva bayesiana),0.68,0.0
111,train,PSBPM-FD (predictiva bayesiana),0.88,0.0
112,train,PSBPM-FD (predictiva bayesiana),0.8133333333333334,0.0
113,train,PSBPM-FD (predictiva bayesiana),0.7733333333333333,0.0
114,train,PSBPM-FD (predictiva bayesiana),0.9866666666666667,0.0
115,train,PSBPM-FD (predictiva bayesiana),0.84,0.0
116,train,PSBPM-FD (predictiva bayesiana),0.9733333333333334,0.0
117,train,PSBPM-FD (predictiva bayesiana),0.84,0.0
118,train,PSBPM-FD (predictiva bayesiana),0.8666666666666667,0.0
119,train,PSBPM-FD (predictiva bayesiana),0.9333333333333333,0.0
120,train,PSBPM-FD (predictiva bayesiana),0.8133333333333334,0.0
121,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
122,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
123,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
124,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
125,train,PSBPM-FD (predictiva bayesiana),0.9466666666666667,0.0
126,train,PSBPM-FD (predictiva bayesiana),0.8933333333333333,0.0
127,train,PSBPM-FD (predictiva bayesiana),0.9733333333333334,0.0
128,train,PSBPM-FD (predictiva bayesiana),0.68,0.0
129,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
130,train,PSBPM-FD (predictiva bayesiana),0.92,0.0
131,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
132,train,PSBPM-FD (predictiva bayesiana),0.8933333333333333,0.0
133,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
134,train,PSBPM-FD (predictiva bayesiana),0.96,0.0
135,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
136,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
137,train,PSBPM-FD (predictiva bayesiana),0.92,0.0
138,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
139,train,PSBPM-FD (predictiva bayesiana),0.8666666666666667,0.0
140,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
141,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
142,train,PSBPM-FD (predictiva bayesiana),0.7066666666666667,0.0
143,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
144,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
145,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
146,train,PSBPM-FD (predictiva bayesiana),0.9866666666666667,0.0
147,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
148,train,PSBPM-FD (predictiva bayesiana),0.96,0.0
149,train,PSBPM-FD (predictiva bayesiana),1.0,1.0
150,train,PSBPM-FD (predictiva bayesiana),0.9733333333333334,0.0
151,train,PSBPM-FD (predictiva bayesiana),0.88,0.0
152,train,PSBPM-FD (predictiva bayesiana),0.9466666666666667,0.0
