variable,FPC 1,FPC 1_sd,FPC 2,FPC 2_sd,FPC 3,FPC 3_sd
fpc_1_lag1,1.0,0.0,,,,
fpc_1_lag2,0.048250000000000015,0.027223611075682063,,,,
fpc_1_lag3,0.05349999999999999,0.02050609665440982,,,,
fpc_1_lag4,0.035999999999999976,0.00777817459305203,,,,
fpc_2_lag1,,,0.4035,0.5027529214236353,,
fpc_2_lag2,,,0.42925,0.5320978528428769,,
fpc_2_lag3,,,0.04849999999999999,0.005656854249492385,,
fpc_2_lag4,,,0.10200000000000004,0.07495331880577402,,
fpc_3_lag1,,,,,0.035250000000000004,0.00954594154601844
fpc_3_lag2,,,,,0.046750000000000014,0.00035355339059331333
fpc_3_lag3,,,,,0.03650000000000003,0.0021213203435596446
fpc_3_lag4,,,,,0.05874999999999997,0.013081475451951102
