M,covariable,componente,pip
1,fpc_1_lag1,FPC 1,0.2675
1,fpc_1_lag2,FPC 1,0.18925000000000003
1,fpc_1_lag3,FPC 1,0.54675
1,fpc_1_lag4,FPC 1,0.30975
2,fpc_1_lag1,FPC 1,0.2675
2,fpc_1_lag1,FPC 2,
2,fpc_1_lag2,FPC 1,0.18925000000000003
2,fpc_1_lag2,FPC 2,
2,fpc_1_lag3,FPC 1,0.54675
2,fpc_1_lag3,FPC 2,
2,fpc_1_lag4,FPC 1,0.30975
2,fpc_1_lag4,FPC 2,
2,fpc_2_lag1,FPC 1,
2,fpc_2_lag1,FPC 2,0.22574999999999995
2,fpc_2_lag2,FPC 1,
2,fpc_2_lag2,FPC 2,0.06424999999999997
2,fpc_2_lag3,FPC 1,
2,fpc_2_lag3,FPC 2,0.513
2,fpc_2_lag4,FPC 1,
2,fpc_2_lag4,FPC 2,0.3405
3,fpc_1_lag1,FPC 1,0.2675
3,fpc_1_lag1,FPC 2,
3,fpc_1_lag1,FPC 3,
3,fpc_1_lag2,FPC 1,0.18925000000000003
3,fpc_1_lag2,FPC 2,
3,fpc_1_lag2,FPC 3,
3,fpc_1_lag3,FPC 1,0.54675
3,fpc_1_lag3,FPC 2,
3,fpc_1_lag3,FPC 3,
3,fpc_1_lag4,FPC 1,0.30975
3,fpc_1_lag4,FPC 2,
3,fpc_1_lag4,FPC 3,
3,fpc_2_lag1,FPC 1,
3,fpc_2_lag1,FPC 2,0.22574999999999995
3,fpc_2_lag1,FPC 3,
3,fpc_2_lag2,FPC 1,
3,fpc_2_lag2,FPC 2,0.06424999999999997
3,fpc_2_lag2,FPC 3,
3,fpc_2_lag3,FPC 1,
3,fpc_2_lag3,FPC 2,0.513
3,fpc_2_lag3,FPC 3,
3,fpc_2_lag4,FPC 1,
3,fpc_2_lag4,FPC 2,0.3405
3,fpc_2_lag4,FPC 3,
3,fpc_3_lag1,FPC 1,
3,fpc_3_lag1,FPC 2,
3,fpc_3_lag1,FPC 3,0.0020000000000000018
3,fpc_3_lag2,FPC 1,
3,fpc_3_lag2,FPC 2,
3,fpc_3_lag2,FPC 3,0.1235
3,fpc_3_lag3,FPC 1,
3,fpc_3_lag3,FPC 2,
3,fpc_3_lag3,FPC 3,0.16100000000000003
3,fpc_3_lag4,FPC 1,
3,fpc_3_lag4,FPC 2,
3,fpc_3_lag4,FPC 3,0.74325
4,fpc_1_lag1,FPC 1,0.2675
4,fpc_1_lag1,FPC 2,
4,fpc_1_lag1,FPC 3,
4,fpc_1_lag1,FPC 4,
4,fpc_1_lag2,FPC 1,0.18925000000000003
4,fpc_1_lag2,FPC 2,
4,fpc_1_lag2,FPC 3,
4,fpc_1_lag2,FPC 4,
4,fpc_1_lag3,FPC 1,0.54675
4,fpc_1_lag3,FPC 2,
4,fpc_1_lag3,FPC 3,
4,fpc_1_lag3,FPC 4,
4,fpc_1_lag4,FPC 1,0.30975
4,fpc_1_lag4,FPC 2,
4,fpc_1_lag4,FPC 3,
4,fpc_1_lag4,FPC 4,
4,fpc_2_lag1,FPC 1,
4,fpc_2_lag1,FPC 2,0.22574999999999995
4,fpc_2_lag1,FPC 3,
4,fpc_2_lag1,FPC 4,
4,fpc_2_lag2,FPC 1,
4,fpc_2_lag2,FPC 2,0.06424999999999997
4,fpc_2_lag2,FPC 3,
4,fpc_2_lag2,FPC 4,
4,fpc_2_lag3,FPC 1,
4,fpc_2_lag3,FPC 2,0.513
4,fpc_2_lag3,FPC 3,
4,fpc_2_lag3,FPC 4,
4,fpc_2_lag4,FPC 1,
4,fpc_2_lag4,FPC 2,0.3405
4,fpc_2_lag4,FPC 3,
4,fpc_2_lag4,FPC 4,
4,fpc_3_lag1,FPC 1,
4,fpc_3_lag1,FPC 2,
4,fpc_3_lag1,FPC 3,0.0020000000000000018
4,fpc_3_lag1,FPC 4,
4,fpc_3_lag2,FPC 1,
4,fpc_3_lag2,FPC 2,
4,fpc_3_lag2,FPC 3,0.1235
4,fpc_3_lag2,FPC 4,
4,fpc_3_lag3,FPC 1,
4,fpc_3_lag3,FPC 2,
4,fpc_3_lag3,FPC 3,0.16100000000000003
4,fpc_3_lag3,FPC 4,
4,fpc_3_lag4,FPC 1,
4,fpc_3_lag4,FPC 2,
4,fpc_3_lag4,FPC 3,0.74325
4,fpc_3_lag4,FPC 4,
4,fpc_4_lag1,FPC 1,
4,fpc_4_lag1,FPC 2,
4,fpc_4_lag1,FPC 3,
4,fpc_4_lag1,FPC 4,0.16225
4,fpc_4_lag2,FPC 1,
4,fpc_4_lag2,FPC 2,
4,fpc_4_lag2,FPC 3,
4,fpc_4_lag2,FPC 4,0.016249999999999987
4,fpc_4_lag3,FPC 1,
4,fpc_4_lag3,FPC 2,
4,fpc_4_lag3,FPC 3,
4,fpc_4_lag3,FPC 4,0.31375
4,fpc_4_lag4,FPC 1,
4,fpc_4_lag4,FPC 2,
4,fpc_4_lag4,FPC 3,
4,fpc_4_lag4,FPC 4,0.73975
