M,metrica,columna,bloque,modelo,pct_ventanas_ganadas,n_ventanas
1,1. MAE  (L^1),mae_f,train,FAR,0.0,667
1,1. MAE  (L^1),mae_f,train,RF,0.0,667
1,1. MAE  (L^1),mae_f,train,GBT,1.0,667
1,1. MAE  (L^1),mae_f,train,PSBPM-FD,0.0,667
1,1. MAE  (L^1),mae_f,test,FAR,0.30996309963099633,271
1,1. MAE  (L^1),mae_f,test,RF,0.12177121771217712,271
1,1. MAE  (L^1),mae_f,test,GBT,0.35793357933579334,271
1,1. MAE  (L^1),mae_f,test,PSBPM-FD,0.21033210332103322,271
1,2. RMSE (L^2),rmse_f,train,FAR,0.0,667
1,2. RMSE (L^2),rmse_f,train,RF,0.0,667
1,2. RMSE (L^2),rmse_f,train,GBT,1.0,667
1,2. RMSE (L^2),rmse_f,train,PSBPM-FD,0.0,667
1,2. RMSE (L^2),rmse_f,test,FAR,0.3763837638376384,271
1,2. RMSE (L^2),rmse_f,test,RF,0.14760147601476015,271
1,2. RMSE (L^2),rmse_f,test,GBT,0.25092250922509224,271
1,2. RMSE (L^2),rmse_f,test,PSBPM-FD,0.22509225092250923,271
1,3. E_max promedio por curva,linf_medio,train,FAR,0.0,667
1,3. E_max promedio por curva,linf_medio,train,RF,0.0,667
1,3. E_max promedio por curva,linf_medio,train,GBT,1.0,667
1,3. E_max promedio por curva,linf_medio,train,PSBPM-FD,0.0,667
1,3. E_max promedio por curva,linf_medio,test,FAR,0.2988929889298893,271
1,3. E_max promedio por curva,linf_medio,test,RF,0.16605166051660517,271
1,3. E_max promedio por curva,linf_medio,test,GBT,0.3837638376383764,271
1,3. E_max promedio por curva,linf_medio,test,PSBPM-FD,0.15129151291512916,271
1,4. E_max peor de la ventana,linf_max,train,FAR,0.0,667
1,4. E_max peor de la ventana,linf_max,train,RF,0.050974512743628186,667
1,4. E_max peor de la ventana,linf_max,train,GBT,0.9490254872563718,667
1,4. E_max peor de la ventana,linf_max,train,PSBPM-FD,0.0,667
1,4. E_max peor de la ventana,linf_max,test,FAR,0.42066420664206644,271
1,4. E_max peor de la ventana,linf_max,test,RF,0.11439114391143912,271
1,4. E_max peor de la ventana,linf_max,test,GBT,0.12177121771217712,271
1,4. E_max peor de la ventana,linf_max,test,PSBPM-FD,0.34317343173431736,271
2,1. MAE  (L^1),mae_f,train,FAR,0.0,667
2,1. MAE  (L^1),mae_f,train,RF,0.0,667
2,1. MAE  (L^1),mae_f,train,GBT,1.0,667
2,1. MAE  (L^1),mae_f,train,PSBPM-FD,0.0,667
2,1. MAE  (L^1),mae_f,test,FAR,0.2693726937269373,271
2,1. MAE  (L^1),mae_f,test,RF,0.3247232472324723,271
2,1. MAE  (L^1),mae_f,test,GBT,0.07749077490774908,271
2,1. MAE  (L^1),mae_f,test,PSBPM-FD,0.3284132841328413,271
2,2. RMSE (L^2),rmse_f,train,FAR,0.0,667
2,2. RMSE (L^2),rmse_f,train,RF,0.0,667
2,2. RMSE (L^2),rmse_f,train,GBT,1.0,667
2,2. RMSE (L^2),rmse_f,train,PSBPM-FD,0.0,667
2,2. RMSE (L^2),rmse_f,test,FAR,0.3763837638376384,271
2,2. RMSE (L^2),rmse_f,test,RF,0.34686346863468637,271
2,2. RMSE (L^2),rmse_f,test,GBT,0.02952029520295203,271
2,2. RMSE (L^2),rmse_f,test,PSBPM-FD,0.24723247232472326,271
2,3. E_max promedio por curva,linf_medio,train,FAR,0.0,667
2,3. E_max promedio por curva,linf_medio,train,RF,0.0,667
2,3. E_max promedio por curva,linf_medio,train,GBT,1.0,667
2,3. E_max promedio por curva,linf_medio,train,PSBPM-FD,0.0,667
2,3. E_max promedio por curva,linf_medio,test,FAR,0.2988929889298893,271
2,3. E_max promedio por curva,linf_medio,test,RF,0.21033210332103322,271
2,3. E_max promedio por curva,linf_medio,test,GBT,0.07011070110701106,271
2,3. E_max promedio por curva,linf_medio,test,PSBPM-FD,0.42066420664206644,271
2,4. E_max peor de la ventana,linf_max,train,FAR,0.0,667
2,4. E_max peor de la ventana,linf_max,train,RF,0.0,667
2,4. E_max peor de la ventana,linf_max,train,GBT,1.0,667
2,4. E_max peor de la ventana,linf_max,train,PSBPM-FD,0.0,667
2,4. E_max peor de la ventana,linf_max,test,FAR,0.6051660516605166,271
2,4. E_max peor de la ventana,linf_max,test,RF,0.12546125461254612,271
2,4. E_max peor de la ventana,linf_max,test,GBT,0.12177121771217712,271
2,4. E_max peor de la ventana,linf_max,test,PSBPM-FD,0.14760147601476015,271
3,1. MAE  (L^1),mae_f,train,FAR,0.0,667
3,1. MAE  (L^1),mae_f,train,RF,0.0,667
3,1. MAE  (L^1),mae_f,train,GBT,1.0,667
3,1. MAE  (L^1),mae_f,train,PSBPM-FD,0.0,667
3,1. MAE  (L^1),mae_f,test,FAR,0.34317343173431736,271
3,1. MAE  (L^1),mae_f,test,RF,0.2878228782287823,271
3,1. MAE  (L^1),mae_f,test,GBT,0.02952029520295203,271
3,1. MAE  (L^1),mae_f,test,PSBPM-FD,0.33948339483394835,271
3,2. RMSE (L^2),rmse_f,train,FAR,0.0,667
3,2. RMSE (L^2),rmse_f,train,RF,0.0,667
3,2. RMSE (L^2),rmse_f,train,GBT,1.0,667
3,2. RMSE (L^2),rmse_f,train,PSBPM-FD,0.0,667
3,2. RMSE (L^2),rmse_f,test,FAR,0.4575645756457565,271
3,2. RMSE (L^2),rmse_f,test,RF,0.28413284132841327,271
3,2. RMSE (L^2),rmse_f,test,GBT,0.01107011070110701,271
3,2. RMSE (L^2),rmse_f,test,PSBPM-FD,0.24723247232472326,271
3,3. E_max promedio por curva,linf_medio,train,FAR,0.0,667
3,3. E_max promedio por curva,linf_medio,train,RF,0.0,667
3,3. E_max promedio por curva,linf_medio,train,GBT,1.0,667
3,3. E_max promedio por curva,linf_medio,train,PSBPM-FD,0.0,667
3,3. E_max promedio por curva,linf_medio,test,FAR,0.4022140221402214,271
3,3. E_max promedio por curva,linf_medio,test,RF,0.15129151291512916,271
3,3. E_max promedio por curva,linf_medio,test,GBT,0.04428044280442804,271
3,3. E_max promedio por curva,linf_medio,test,PSBPM-FD,0.4022140221402214,271
3,4. E_max peor de la ventana,linf_max,train,FAR,0.0,667
3,4. E_max peor de la ventana,linf_max,train,RF,0.0,667
3,4. E_max peor de la ventana,linf_max,train,GBT,1.0,667
3,4. E_max peor de la ventana,linf_max,train,PSBPM-FD,0.0,667
3,4. E_max peor de la ventana,linf_max,test,FAR,0.4981549815498155,271
3,4. E_max peor de la ventana,linf_max,test,RF,0.04428044280442804,271
3,4. E_max peor de la ventana,linf_max,test,GBT,0.23616236162361623,271
3,4. E_max peor de la ventana,linf_max,test,PSBPM-FD,0.22140221402214022,271
4,1. MAE  (L^1),mae_f,train,FAR,0.0,667
4,1. MAE  (L^1),mae_f,train,RF,0.0,667
4,1. MAE  (L^1),mae_f,train,GBT,1.0,667
4,1. MAE  (L^1),mae_f,train,PSBPM-FD,0.0,667
4,1. MAE  (L^1),mae_f,test,FAR,0.36162361623616235,271
4,1. MAE  (L^1),mae_f,test,RF,0.25830258302583026,271
4,1. MAE  (L^1),mae_f,test,GBT,0.007380073800738007,271
4,1. MAE  (L^1),mae_f,test,PSBPM-FD,0.3726937269372694,271
4,2. RMSE (L^2),rmse_f,train,FAR,0.0,667
4,2. RMSE (L^2),rmse_f,train,RF,0.0,667
4,2. RMSE (L^2),rmse_f,train,GBT,1.0,667
4,2. RMSE (L^2),rmse_f,train,PSBPM-FD,0.0,667
4,2. RMSE (L^2),rmse_f,test,FAR,0.4797047970479705,271
4,2. RMSE (L^2),rmse_f,test,RF,0.16236162361623616,271
4,2. RMSE (L^2),rmse_f,test,GBT,0.04797047970479705,271
4,2. RMSE (L^2),rmse_f,test,PSBPM-FD,0.30996309963099633,271
4,3. E_max promedio por curva,linf_medio,train,FAR,0.0,667
4,3. E_max promedio por curva,linf_medio,train,RF,0.0,667
4,3. E_max promedio por curva,linf_medio,train,GBT,1.0,667
4,3. E_max promedio por curva,linf_medio,train,PSBPM-FD,0.0,667
4,3. E_max promedio por curva,linf_medio,test,FAR,0.43911439114391143,271
4,3. E_max promedio por curva,linf_medio,test,RF,0.09225092250922509,271
4,3. E_max promedio por curva,linf_medio,test,GBT,0.025830258302583026,271
4,3. E_max promedio por curva,linf_medio,test,PSBPM-FD,0.44280442804428044,271
4,4. E_max peor de la ventana,linf_max,train,FAR,0.0,667
4,4. E_max peor de la ventana,linf_max,train,RF,0.0,667
4,4. E_max peor de la ventana,linf_max,train,GBT,1.0,667
4,4. E_max peor de la ventana,linf_max,train,PSBPM-FD,0.0,667
4,4. E_max peor de la ventana,linf_max,test,FAR,0.3284132841328413,271
