variable,FPC 1,FPC 1_sd,FPC 2,FPC 2_sd,FPC 3,FPC 3_sd,FPC 4,FPC 4_sd
fpc_1_lag1,1.0,0.0,,,,,,
fpc_1_lag2,0.5235000000000001,0.6738727624707798,,,,,,
fpc_1_lag3,0.10525000000000001,0.09086322138247131,,,,,,
fpc_1_lag4,0.03649999999999998,0.004242640687119289,,,,,,
fpc_2_lag1,,,1.0,0.0,,,,
fpc_2_lag2,,,0.04175000000000001,0.011667261889578083,,,,
fpc_2_lag3,,,0.268,0.3351686142824235,,,,
fpc_2_lag4,,,0.53225,0.6614983938000152,,,,
fpc_3_lag1,,,,,0.05499999999999999,0.0007071067811865482,,
fpc_3_lag2,,,,,0.531,0.6632661607529815,,
fpc_3_lag3,,,,,0.52275,0.6749334226425596,,
fpc_3_lag4,,,,,0.07250000000000001,0.021920310216782913,,
fpc_4_lag1,,,,,,,0.04325000000000001,0.008131727983645342
fpc_4_lag2,,,,,,,0.30324999999999996,0.10924799769332158
fpc_4_lag3,,,,,,,0.52725,0.6685694616118807
fpc_4_lag4,,,,,,,0.42425,0.5391689206547424
