M,metrica,bloque,banda,razon_vs_mejor
1,4. Winkler,train,FAR (IC del modelo AR),1.007066467786578
1,4. Winkler,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0063443476299527
1,4. Winkler,train,PSBPM-FD (predictiva bayesiana),1.0992137495779675
1,4. Winkler,test,FAR (IC del modelo AR),1.0093967940354605
1,4. Winkler,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0083028479873468
1,4. Winkler,test,PSBPM-FD (predictiva bayesiana),1.0772502078106718
1,6a. PICP simultaneo (curva completa),train,FAR (IC del modelo AR),1.0307632398753894
1,6a. PICP simultaneo (curva completa),train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0302570093457946
1,6a. PICP simultaneo (curva completa),train,PSBPM-FD (predictiva bayesiana),4.206931464174457
1,6a. PICP simultaneo (curva completa),test,FAR (IC del modelo AR),1.0
1,6a. PICP simultaneo (curva completa),test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0
1,6a. PICP simultaneo (curva completa),test,PSBPM-FD (predictiva bayesiana),4.825268817204305
1,6b. PICP puntual,train,FAR (IC del modelo AR),2.437993776676828
1,6b. PICP puntual,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",2.3976812606541262
1,6b. PICP puntual,train,PSBPM-FD (predictiva bayesiana),5.339549981506461
1,6b. PICP puntual,test,FAR (IC del modelo AR),1.6916794548968275
1,6b. PICP puntual,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.7106925825801313
1,6b. PICP puntual,test,PSBPM-FD (predictiva bayesiana),9.805980857366823
1,7. MPIW,train,FAR (IC del modelo AR),1.1668782209403152
1,7. MPIW,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.1669565949968408
1,7. MPIW,train,PSBPM-FD (predictiva bayesiana),1.0
1,7. MPIW,test,FAR (IC del modelo AR),1.1669446967542405
1,7. MPIW,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.1670230752756532
1,7. MPIW,test,PSBPM-FD (predictiva bayesiana),1.0
2,4. Winkler,train,FAR (IC del modelo AR),1.0256725429731357
2,4. Winkler,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0108306411882393
2,4. Winkler,train,PSBPM-FD (predictiva bayesiana),1.018469925555446
2,4. Winkler,test,FAR (IC del modelo AR),1.009831633827774
2,4. Winkler,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0112192161668536
2,4. Winkler,test,PSBPM-FD (predictiva bayesiana),1.0153849216737194
2,6a. PICP simultaneo (curva completa),train,FAR (IC del modelo AR),1.1923333333333337
2,6a. PICP simultaneo (curva completa),train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.1803750000000002
2,6a. PICP simultaneo (curva completa),train,PSBPM-FD (predictiva bayesiana),1.6394166666666672
2,6a. PICP simultaneo (curva completa),test,FAR (IC del modelo AR),1.0327868852459017
2,6a. PICP simultaneo (curva completa),test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.2868852459016398
2,6a. PICP simultaneo (curva completa),test,PSBPM-FD (predictiva bayesiana),1.8879781420765036
2,6b. PICP puntual,train,FAR (IC del modelo AR),2.7987306515672845
2,6b. PICP puntual,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",2.4038043983953097
2,6b. PICP puntual,train,PSBPM-FD (predictiva bayesiana),1.8909238191619826
2,6b. PICP puntual,test,FAR (IC del modelo AR),1.9984129409624303
2,6b. PICP puntual,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",2.296907657379918
2,6b. PICP puntual,test,PSBPM-FD (predictiva bayesiana),3.4395906189094605
2,7. MPIW,train,FAR (IC del modelo AR),1.0240337724043613
2,7. MPIW,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0135332568822664
2,7. MPIW,train,PSBPM-FD (predictiva bayesiana),1.0000005113236756
2,7. MPIW,test,FAR (IC del modelo AR),1.0269954751661012
2,7. MPIW,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0164645901321214
2,7. MPIW,test,PSBPM-FD (predictiva bayesiana),1.0
3,4. Winkler,train,FAR (IC del modelo AR),1.024516263380063
3,4. Winkler,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.010247050401743
3,4. Winkler,train,PSBPM-FD (predictiva bayesiana),1.0137616431279173
3,4. Winkler,test,FAR (IC del modelo AR),1.0103472493255865
3,4. Winkler,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0103287090046056
3,4. Winkler,test,PSBPM-FD (predictiva bayesiana),1.0100250667100352
3,6a. PICP simultaneo (curva completa),train,FAR (IC del modelo AR),1.2152083333333334
3,6a. PICP simultaneo (curva completa),train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.1940833333333336
3,6a. PICP simultaneo (curva completa),train,PSBPM-FD (predictiva bayesiana),1.2866666666666668
3,6a. PICP simultaneo (curva completa),test,FAR (IC del modelo AR),1.0810055865921788
3,6a. PICP simultaneo (curva completa),test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.3407821229050285
3,6a. PICP simultaneo (curva completa),test,PSBPM-FD (predictiva bayesiana),1.251396648044693
3,6b. PICP puntual,train,FAR (IC del modelo AR),2.2105432403080107
3,6b. PICP puntual,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.7480181683691807
3,6b. PICP puntual,train,PSBPM-FD (predictiva bayesiana),1.5895654579191987
3,6b. PICP puntual,test,FAR (IC del modelo AR),2.0093115620240214
3,6b. PICP puntual,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",2.442601617095971
3,6b. PICP puntual,test,PSBPM-FD (predictiva bayesiana),1.9840011938690032
3,7. MPIW,train,FAR (IC del modelo AR),1.0106158479129246
3,7. MPIW,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0005007452537737
3,7. MPIW,train,PSBPM-FD (predictiva bayesiana),1.0080479554899722
3,7. MPIW,test,FAR (IC del modelo AR),1.0102428391929126
3,7. MPIW,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0001314699221735
3,7. MPIW,test,PSBPM-FD (predictiva bayesiana),1.0048841244237108
