metrica,bloque,columna,minimo,maximo,promedio
1. MAE   (L^1),train,mae_f,0.4720133691541129,1.0965591753326518,0.7871509017284004
1. MAE   (L^1),test,mae_f,0.591710365780372,1.0068040628814467,0.768525272771897
2. RMSE  (L^2),train,rmse_f,0.6513555762944119,1.296258977955354,0.97663709663852
2. RMSE  (L^2),test,rmse_f,0.7386094696817215,1.2169186706134756,0.9592898750978477
"3. Error maximo (L^inf, prom. por curva)",train,linf_medio,0.8941781409402735,1.740181086054823,1.3202544745266955
"3. Error maximo (L^inf, prom. por curva)",test,linf_medio,0.9987531264645293,1.5650600406063044,1.280944960069204
4. Winkler,train,winkler,3.49041037176791,7.6635800517796,5.026573822372313
4. Winkler,test,winkler,3.6338170005155535,7.162081547200304,4.87960605098739
6a. PICP puntual,train,picp,0.7865,0.975,0.8928268518518517
6a. PICP puntual,test,picp,0.8235,0.9675,0.900210407239819
6b. PICP simultaneo (curva completa),train,picp_simultaneo,0.3,0.85,0.5502777777777778
6b. PICP simultaneo (curva completa),test,picp_simultaneo,0.35,0.9,0.6072398190045248
7. MPIW,train,mpiw,3.249383325238647,3.3580398420071362,3.306371086750298
7. MPIW,test,mpiw,3.2686379952171625,3.3680892655389596,3.306264570727036
