t,bloque,I_t
2,train,0.94
3,train,0.8
4,train,1.0
5,train,0.0
6,train,1.0
7,train,0.95
8,train,0.92
9,train,1.0
10,train,0.75
11,train,1.0
12,train,1.0
13,train,0.98
14,train,1.0
15,train,1.0
16,train,1.0
17,train,1.0
18,train,1.0
19,train,1.0
20,train,0.83
21,train,0.88
22,train,1.0
23,train,1.0
24,train,1.0
25,train,0.98
26,train,1.0
27,train,0.65
28,train,0.91
29,train,0.93
30,train,1.0
31,train,1.0
32,train,0.94
33,train,1.0
34,train,1.0
35,train,0.81
36,train,1.0
37,train,0.87
38,train,1.0
39,train,0.26
40,train,0.88
41,train,0.73
42,train,0.9
43,train,0.87
44,train,1.0
45,train,0.84
46,train,1.0
47,train,1.0
48,train,1.0
49,train,0.98
50,train,1.0
51,train,1.0
52,train,0.75
53,train,0.89
54,train,0.68
55,train,0.99
56,train,1.0
57,train,1.0
58,train,0.97
59,train,1.0
60,train,1.0
61,train,1.0
62,train,0.94
63,train,0.73
64,train,1.0
65,train,0.04
66,train,1.0
67,train,1.0
68,train,0.99
69,train,1.0
70,train,0.46
71,train,1.0
72,train,1.0
73,train,1.0
74,train,1.0
75,train,0.57
76,train,0.84
77,train,0.73
78,train,1.0
79,train,1.0
80,train,1.0
81,train,1.0
82,train,0.61
83,train,1.0
84,train,0.93
85,train,1.0
86,train,0.78
87,train,1.0
88,train,1.0
89,train,1.0
90,train,1.0
91,train,0.75
92,train,0.83
93,train,1.0
94,train,0.94
95,train,0.46
96,train,0.51
97,train,1.0
98,train,1.0
99,train,1.0
100,train,1.0
101,train,0.93
102,train,1.0
103,train,0.84
104,train,1.0
105,train,0.89
106,train,1.0
107,train,1.0
108,train,0.77
109,train,1.0
110,train,1.0
111,train,1.0
112,train,1.0
113,train,0.5
114,train,0.0
115,train,0.81
116,train,1.0
117,train,1.0
118,train,1.0
119,train,1.0
120,train,1.0
121,train,0.96
122,train,0.4
123,train,1.0
124,train,0.81
125,train,0.71
126,train,0.99
127,train,0.85
128,train,0.63
129,train,1.0
130,train,1.0
131,train,0.89
132,train,1.0
133,train,0.45
134,train,1.0
135,train,1.0
136,train,1.0
137,train,0.96
138,train,0.71
139,train,0.94
140,train,1.0
141,train,1.0
142,train,0.95
143,train,1.0
144,train,0.9
145,train,1.0
146,train,0.51
147,train,0.96
148,train,0.82
149,train,0.73
150,train,1.0
151,train,1.0
152,train,0.0
153,train,1.0
154,train,0.59
155,train,1.0
156,train,0.89
157,train,0.92
158,train,1.0
159,train,1.0
160,train,0.41
161,train,1.0
162,train,1.0
163,train,0.66
164,train,0.41
165,train,1.0
166,train,0.83
167,train,0.47
168,train,1.0
169,train,1.0
170,train,1.0
171,train,0.63
172,train,1.0
173,train,0.89
174,train,0.99
175,train,1.0
176,train,0.99
177,train,0.93
178,train,0.34
179,train,1.0
180,train,1.0
181,train,1.0
182,train,0.82
183,train,1.0
184,train,0.84
185,train,1.0
186,train,1.0
187,train,1.0
188,train,1.0
189,train,1.0
190,train,1.0
191,train,0.52
192,train,0.85
193,train,1.0
194,train,0.84
195,train,0.85
196,train,0.81
197,train,1.0
198,train,1.0
199,train,0.58
200,train,1.0
201,train,1.0
202,train,1.0
203,train,1.0
204,train,0.47
205,train,0.67
206,train,0.57
207,train,0.9
208,train,1.0
209,train,1.0
210,train,0.87
211,train,1.0
212,train,1.0
213,train,1.0
214,train,0.66
215,train,1.0
216,train,0.63
217,train,1.0
218,train,0.83
219,train,1.0
220,train,0.6
221,train,0.36
222,train,0.87
223,train,0.59
224,train,1.0
225,train,1.0
226,train,0.78
227,train,0.96
228,train,0.99
229,train,0.95
230,train,0.0
231,train,1.0
232,train,1.0
233,train,1.0
234,train,1.0
235,train,0.81
236,train,0.73
237,train,0.83
238,train,1.0
239,train,1.0
240,train,1.0
241,train,1.0
242,train,0.92
243,train,1.0
244,train,0.7
245,train,1.0
246,train,1.0
247,train,1.0
248,train,0.5
249,train,0.96
250,train,1.0
251,train,1.0
252,train,1.0
253,train,1.0
254,train,1.0
255,train,1.0
256,train,0.79
257,train,1.0
258,train,0.71
259,train,0.97
260,train,0.73
261,train,1.0
262,train,1.0
263,train,1.0
264,train,1.0
265,train,1.0
266,train,0.73
267,train,1.0
268,train,1.0
269,train,0.97
270,train,0.94
271,train,1.0
272,train,1.0
273,train,1.0
274,train,0.9
275,train,0.7
276,train,1.0
277,train,1.0
278,train,1.0
279,train,0.92
280,train,1.0
281,train,1.0
282,train,0.82
283,train,1.0
284,train,0.59
285,train,0.65
286,train,0.46
287,train,0.86
288,train,0.55
289,train,1.0
290,train,0.68
291,train,0.91
292,train,0.88
293,train,1.0
294,train,1.0
295,train,1.0
296,train,1.0
297,train,1.0
298,train,1.0
299,train,1.0
300,train,1.0
301,train,0.92
302,train,1.0
303,train,1.0
304,train,0.9
305,train,1.0
306,train,1.0
307,train,1.0
308,train,1.0
309,train,0.53
310,train,1.0
311,train,1.0
312,train,1.0
313,train,1.0
314,train,1.0
315,train,0.93
316,train,1.0
317,train,1.0
318,train,0.93
319,train,1.0
320,train,0.89
321,train,1.0
322,train,1.0
323,train,1.0
324,train,1.0
325,train,1.0
326,train,0.76
327,train,1.0
328,train,1.0
329,train,1.0
330,train,0.59
331,train,0.7
332,train,0.03
333,train,1.0
334,train,1.0
335,train,1.0
336,train,1.0
337,train,0.87
338,train,0.63
339,train,1.0
340,train,1.0
341,train,0.75
342,train,1.0
343,train,0.76
344,train,0.99
345,train,1.0
346,train,1.0
347,train,0.77
348,train,0.93
349,train,0.91
350,train,0.86
351,train,0.94
352,train,0.92
353,train,1.0
354,train,0.99
355,train,0.99
356,train,0.78
357,train,0.75
358,train,0.9
359,train,0.86
360,train,1.0
361,train,0.95
362,train,0.93
363,train,1.0
364,train,1.0
365,train,1.0
366,train,0.64
367,train,1.0
368,train,0.82
369,train,1.0
370,train,0.37
371,train,1.0
372,train,1.0
373,train,0.82
374,train,1.0
375,train,1.0
376,train,0.86
377,train,0.04
378,train,0.88
379,train,1.0
380,train,0.01
381,train,0.89
382,train,1.0
383,train,0.6
384,train,0.81
385,train,1.0
386,train,0.85
387,train,0.84
388,train,0.89
389,train,0.72
390,train,1.0
391,train,1.0
392,train,0.9
393,train,0.78
394,train,0.79
395,train,1.0
396,train,0.86
397,train,0.51
398,train,1.0
399,train,1.0
400,train,1.0
401,train,1.0
402,train,1.0
403,train,1.0
404,train,0.73
405,train,1.0
406,train,0.97
407,train,0.96
408,train,1.0
409,train,0.93
410,train,1.0
411,train,0.97
412,train,1.0
413,train,0.92
414,train,1.0
415,train,1.0
416,train,0.97
417,train,0.88
418,train,0.88
419,train,1.0
420,train,0.89
421,train,0.59
422,train,1.0
423,train,0.0
424,train,1.0
425,train,1.0
426,train,0.81
427,train,0.99
428,train,1.0
429,train,0.89
430,train,0.92
431,train,1.0
432,train,1.0
433,train,0.33
434,train,1.0
435,train,1.0
436,train,1.0
437,train,0.51
438,train,0.54
439,train,1.0
440,train,1.0
441,train,1.0
442,train,0.98
443,train,0.85
444,train,0.92
445,train,0.35
446,train,1.0
447,train,1.0
448,train,1.0
449,train,0.9
450,train,1.0
451,train,1.0
452,train,1.0
453,train,0.9
454,train,1.0
455,train,1.0
456,train,1.0
457,train,0.94
458,train,0.77
459,train,1.0
460,train,1.0
461,train,0.85
462,train,0.5
463,train,0.9
464,train,0.97
465,train,1.0
466,train,0.89
467,train,1.0
468,train,1.0
469,train,1.0
470,train,1.0
471,train,1.0
472,train,1.0
473,train,1.0
474,train,1.0
475,train,1.0
476,train,0.89
477,train,1.0
478,train,1.0
479,train,1.0
480,train,0.75
481,train,1.0
482,train,0.95
483,train,1.0
484,train,1.0
485,train,0.8
486,train,1.0
487,train,0.53
488,train,1.0
489,train,1.0
490,train,1.0
491,train,0.98
492,train,1.0
493,train,0.95
494,train,1.0
495,train,0.62
496,train,0.98
497,train,0.61
498,train,0.6
499,train,1.0
500,train,1.0
501,train,0.47
502,train,0.95
503,train,1.0
504,train,1.0
505,train,0.61
506,train,1.0
507,train,1.0
508,train,0.88
509,train,1.0
510,train,1.0
511,train,1.0
512,train,1.0
513,train,0.6
514,train,0.88
515,train,0.63
516,train,0.87
517,train,0.71
518,train,1.0
519,train,1.0
520,train,1.0
521,train,0.43
522,train,0.34
