bloque,modelo,RMSE_scores,R2_scores,sd_ratio,MISE,RMSE_func,n
test,(truncamiento FPCA),,,,0.006460679916918839,0.08037835477862705,120
test,FAR,0.9521246040775657,0.1515170510168826,0.4129982791790727,1.0486554680734785,1.024038802035098,120
test,GBT,1.0771139791605033,-0.07451157596605,0.6449780138558311,1.4503383626193787,1.2042999471142473,120
test,RF,0.9722033577957343,0.13184503346914753,0.32582270018009934,1.2325068901629423,1.1101832687277098,120
test,media,1.0562677130489433,-0.0026864001667498507,0.0,1.826840567839652,1.3516066616585063,120
test,persistencia,1.1619584364910158,-0.3068087419753358,1.0035491921828017,1.3150446371459927,1.146753956673354,120
train,(truncamiento FPCA),,,,0.0061264785954823035,0.07827182504249089,279
train,FAR,0.9040740425891028,0.17981853756543753,0.40400307996443846,1.0161260876852978,1.0080307969924818,279
train,GBT,0.27874628429430875,0.9221426442308079,0.8214500919254446,0.10908371655862398,0.33027824112197274,279
train,RF,0.7934817068200121,0.3684808213375594,0.37162024771283564,0.7913702051722242,0.8895899084253509,279
train,media,1.0003739260120665,-1.01642741261454e-05,0.0,1.435847246724954,1.1982684368391558,279
train,persistencia,1.1523345704983594,-0.35135145561317566,0.9978872522241544,1.4147363958448513,1.189426919085343,279
