t,bloque,I_t_puntual,I_t_simultaneo
2,train,1.0,1.0
3,train,1.0,1.0
4,train,0.8266666666666667,0.0
5,train,1.0,1.0
6,train,1.0,1.0
7,train,0.7866666666666666,0.0
8,train,1.0,1.0
9,train,0.9066666666666666,0.0
10,train,0.9733333333333334,0.0
11,train,0.9333333333333333,0.0
12,train,0.8533333333333334,0.0
13,train,0.9466666666666667,0.0
14,train,0.8,0.0
15,train,0.88,0.0
16,train,0.84,0.0
17,train,1.0,1.0
18,train,0.9333333333333333,0.0
19,train,1.0,1.0
20,train,0.9466666666666667,0.0
21,train,0.92,0.0
22,train,0.9066666666666666,0.0
23,train,0.7466666666666667,0.0
24,train,1.0,1.0
25,train,0.96,0.0
26,train,0.9066666666666666,0.0
27,train,1.0,1.0
28,train,0.9066666666666666,0.0
29,train,0.88,0.0
30,train,1.0,1.0
31,train,1.0,1.0
32,train,0.9733333333333334,0.0
33,train,0.9333333333333333,0.0
34,train,0.8933333333333333,0.0
35,train,1.0,1.0
36,train,0.88,0.0
37,train,0.92,0.0
38,train,1.0,1.0
39,train,0.9066666666666666,0.0
40,train,0.9733333333333334,0.0
41,train,1.0,1.0
42,train,0.9466666666666667,0.0
43,train,0.9466666666666667,0.0
44,train,0.7333333333333333,0.0
45,train,1.0,1.0
46,train,1.0,1.0
47,train,0.9733333333333334,0.0
48,train,0.9066666666666666,0.0
49,train,0.8933333333333333,0.0
50,train,0.6533333333333333,0.0
51,train,1.0,1.0
52,train,1.0,1.0
53,train,1.0,1.0
54,train,0.9866666666666667,0.0
55,train,1.0,1.0
56,train,0.8266666666666667,0.0
57,train,0.7733333333333333,0.0
58,train,1.0,1.0
59,train,0.9733333333333334,0.0
60,train,1.0,1.0
61,train,0.9333333333333333,0.0
62,train,0.96,0.0
63,train,0.8133333333333334,0.0
64,train,0.8,0.0
65,train,1.0,1.0
66,train,0.9333333333333333,0.0
67,train,1.0,1.0
68,train,1.0,1.0
69,train,0.9066666666666666,0.0
70,train,0.88,0.0
71,train,0.9066666666666666,0.0
72,train,0.8,0.0
73,train,0.96,0.0
74,train,0.9866666666666667,0.0
75,train,0.9066666666666666,0.0
76,train,1.0,1.0
77,train,1.0,1.0
78,train,1.0,1.0
79,train,1.0,1.0
80,train,0.8133333333333334,0.0
81,train,1.0,1.0
82,train,0.7333333333333333,0.0
83,train,1.0,1.0
84,train,0.8933333333333333,0.0
85,train,0.84,0.0
86,train,1.0,1.0
87,train,0.88,0.0
88,train,0.8133333333333334,0.0
89,train,0.8533333333333334,0.0
90,train,0.92,0.0
91,train,0.8666666666666667,0.0
92,train,1.0,1.0
93,train,0.9866666666666667,0.0
94,train,1.0,1.0
95,train,0.8133333333333334,0.0
96,train,1.0,1.0
97,train,1.0,1.0
98,train,1.0,1.0
99,train,0.8533333333333334,0.0
100,train,0.9866666666666667,0.0
101,train,1.0,1.0
102,train,0.9866666666666667,0.0
103,train,0.8666666666666667,0.0
104,train,0.8133333333333334,0.0
105,train,1.0,1.0
106,train,1.0,1.0
107,train,0.8133333333333334,0.0
