metrica,bloque,M,pct_ventanas_ganadas,n_ventanas
1. MAE  (L^1),train,4,0.3388888888888889,540
1. MAE  (L^1),train,5,0.31851851851851853,540
1. MAE  (L^1),train,6,0.3425925925925926,540
1. MAE  (L^1),test,4,0.3665158371040724,221
1. MAE  (L^1),test,5,0.248868778280543,221
1. MAE  (L^1),test,6,0.38461538461538464,221
2. RMSE (L^2),train,4,0.27037037037037037,540
2. RMSE (L^2),train,5,0.40185185185185185,540
2. RMSE (L^2),train,6,0.3277777777777778,540
2. RMSE (L^2),test,4,0.4117647058823529,221
2. RMSE (L^2),test,5,0.19004524886877827,221
2. RMSE (L^2),test,6,0.39819004524886875,221
3. E_max promedio por curva,train,4,0.4166666666666667,540
3. E_max promedio por curva,train,5,0.43148148148148147,540
3. E_max promedio por curva,train,6,0.15185185185185185,540
3. E_max promedio por curva,test,4,0.36199095022624433,221
3. E_max promedio por curva,test,5,0.08144796380090498,221
3. E_max promedio por curva,test,6,0.5565610859728507,221
4. E_max peor de la ventana,train,4,0.3333333333333333,540
4. E_max peor de la ventana,train,5,0.3277777777777778,540
4. E_max peor de la ventana,train,6,0.3388888888888889,540
4. E_max peor de la ventana,test,4,0.42081447963800905,221
4. E_max peor de la ventana,test,5,0.3167420814479638,221
4. E_max peor de la ventana,test,6,0.26244343891402716,221
