M,FPC,cadena,media,max,p99,N_trunc,toca_truncamiento
1,1,1,7.470666666666666,35,17.0,35,True
1,1,2,7.066666666666666,22,16.0,35,False
2,1,1,5.682666666666667,17,13.0,35,False
2,1,2,6.604,18,15.0,35,False
2,2,1,8.740666666666666,26,16.0,35,False
2,2,2,5.772666666666667,22,14.009999999999991,35,False
3,1,1,7.735333333333333,25,17.0,35,False
3,1,2,6.6386666666666665,22,16.0,35,False
3,2,1,2.376,14,9.009999999999991,35,False
3,2,2,7.8933333333333335,32,18.0,35,False
3,3,1,10.825333333333333,35,20.0,35,True
3,3,2,6.194,19,15.0,35,False
4,1,1,7.158,22,15.0,35,False
4,1,2,6.588666666666667,24,15.0,35,False
4,2,1,8.301333333333334,35,18.0,35,True
4,2,2,8.991333333333333,24,17.00999999999999,35,False
4,3,1,7.272,25,17.00999999999999,35,False
4,3,2,7.286666666666667,21,15.0,35,False
4,4,1,6.214666666666667,27,16.0,35,False
4,4,2,6.486666666666666,27,16.0,35,False
