M,metrica,bloque,modelo,razon_vs_mejor,razon_vs_FAR
1,1. MAE  (L^1),train,FAR,1.0080873715485215,1.0
1,1. MAE  (L^1),train,RF,1.0372883360286016,1.029553729764408
1,1. MAE  (L^1),train,GBT,1.03588759433983,1.0281855828171202
1,1. MAE  (L^1),train,PSBPM-FD,1.0717533213144987,1.0635347219614164
1,1. MAE  (L^1),test,FAR,1.0057300453262772,1.0
1,1. MAE  (L^1),test,RF,1.075551607294005,1.0699878136500085
1,1. MAE  (L^1),test,GBT,1.075843200983162,1.0702711968509449
1,1. MAE  (L^1),test,PSBPM-FD,1.064380564591608,1.0587535247337037
1,2. RMSE (L^2),train,FAR,1.0072644816189937,1.0
1,2. RMSE (L^2),train,RF,1.0341237896415438,1.0270788987639705
1,2. RMSE (L^2),train,GBT,1.0329332805995448,1.0259084386144368
1,2. RMSE (L^2),train,PSBPM-FD,1.0696290484654658,1.0621939699816958
1,2. RMSE (L^2),test,FAR,1.0021146343714047,1.0
1,2. RMSE (L^2),test,RF,1.0754582590556017,1.0733590768597225
1,2. RMSE (L^2),test,GBT,1.075362010482694,1.073242488313961
1,2. RMSE (L^2),test,PSBPM-FD,1.0605589974508214,1.058486259005206
1,3. E_max promedio por curva,train,FAR,1.0035525307491695,1.0
1,3. E_max promedio por curva,train,RF,1.036494828899249,1.032997652991835
1,3. E_max promedio por curva,train,GBT,1.0349374058426748,1.0314610736574175
1,3. E_max promedio por curva,train,PSBPM-FD,1.0604492091504951,1.0568452458840958
1,3. E_max promedio por curva,test,FAR,1.00265757302789,1.0
1,3. E_max promedio por curva,test,RF,1.065776731132819,1.0631354774076978
1,3. E_max promedio por curva,test,GBT,1.0632227545470354,1.060570676161698
1,3. E_max promedio por curva,test,PSBPM-FD,1.0454998363185604,1.0429001766695984
1,4. E_max peor de la ventana,train,FAR,1.0392424173057744,1.0
1,4. E_max peor de la ventana,train,RF,1.067354872038659,1.0310974562086233
1,4. E_max peor de la ventana,train,GBT,1.065327848651303,1.0295460201711775
