M,metrica,columna,bloque,banda,pct_ventanas_ganadas,n_ventanas,criterio
1,5. MPIW,mpiw,train,FAR (IC del modelo AR),0.0,540,menor es mejor
1,5. MPIW,mpiw,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.0,540,menor es mejor
1,5. MPIW,mpiw,train,PSBPM-FD (predictiva bayesiana),1.0,540,menor es mejor
1,5. MPIW,mpiw,test,FAR (IC del modelo AR),0.0,221,menor es mejor
1,5. MPIW,mpiw,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.0,221,menor es mejor
1,5. MPIW,mpiw,test,PSBPM-FD (predictiva bayesiana),1.0,221,menor es mejor
1,6. PICP puntual,picp,train,FAR (IC del modelo AR),0.5574074074074075,540,|valor - nominal|
1,6. PICP puntual,picp,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.4425925925925926,540,|valor - nominal|
1,6. PICP puntual,picp,train,PSBPM-FD (predictiva bayesiana),0.0,540,|valor - nominal|
1,6. PICP puntual,picp,test,FAR (IC del modelo AR),0.6244343891402715,221,|valor - nominal|
1,6. PICP puntual,picp,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.3755656108597285,221,|valor - nominal|
1,6. PICP puntual,picp,test,PSBPM-FD (predictiva bayesiana),0.0,221,|valor - nominal|
1,7. PICPB curva completa,picp_simultaneo,train,FAR (IC del modelo AR),0.7111111111111111,540,|valor - nominal|
1,7. PICPB curva completa,picp_simultaneo,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.28888888888888886,540,|valor - nominal|
1,7. PICPB curva completa,picp_simultaneo,train,PSBPM-FD (predictiva bayesiana),0.0,540,|valor - nominal|
1,7. PICPB curva completa,picp_simultaneo,test,FAR (IC del modelo AR),0.6380090497737556,221,|valor - nominal|
1,7. PICPB curva completa,picp_simultaneo,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.36199095022624433,221,|valor - nominal|
1,7. PICPB curva completa,picp_simultaneo,test,PSBPM-FD (predictiva bayesiana),0.0,221,|valor - nominal|
1,8. Winkler,winkler,train,FAR (IC del modelo AR),0.9037037037037037,540,menor es mejor
1,8. Winkler,winkler,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.0962962962962963,540,menor es mejor
1,8. Winkler,winkler,train,PSBPM-FD (predictiva bayesiana),0.0,540,menor es mejor
1,8. Winkler,winkler,test,FAR (IC del modelo AR),0.8597285067873304,221,menor es mejor
1,8. Winkler,winkler,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.14027149321266968,221,menor es mejor
1,8. Winkler,winkler,test,PSBPM-FD (predictiva bayesiana),0.0,221,menor es mejor
1,9. Winkler max promedio,winkler_max_medio,train,FAR (IC del modelo AR),0.6277777777777778,540,menor es mejor
1,9. Winkler max promedio,winkler_max_medio,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.37222222222222223,540,menor es mejor
1,9. Winkler max promedio,winkler_max_medio,train,PSBPM-FD (predictiva bayesiana),0.0,540,menor es mejor
1,9. Winkler max promedio,winkler_max_medio,test,FAR (IC del modelo AR),0.6334841628959276,221,menor es mejor
1,9. Winkler max promedio,winkler_max_medio,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.3665158371040724,221,menor es mejor
1,9. Winkler max promedio,winkler_max_medio,test,PSBPM-FD (predictiva bayesiana),0.0,221,menor es mejor
1,10. Winkler max peor ventana,winkler_max_glob,train,FAR (IC del modelo AR),0.5481481481481482,540,menor es mejor
1,10. Winkler max peor ventana,winkler_max_glob,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.45185185185185184,540,menor es mejor
1,10. Winkler max peor ventana,winkler_max_glob,train,PSBPM-FD (predictiva bayesiana),0.0,540,menor es mejor
1,10. Winkler max peor ventana,winkler_max_glob,test,FAR (IC del modelo AR),0.5203619909502263,221,menor es mejor
1,10. Winkler max peor ventana,winkler_max_glob,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.4796380090497738,221,menor es mejor
1,10. Winkler max peor ventana,winkler_max_glob,test,PSBPM-FD (predictiva bayesiana),0.0,221,menor es mejor
2,5. MPIW,mpiw,train,FAR (IC del modelo AR),0.0,540,menor es mejor
2,5. MPIW,mpiw,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.0,540,menor es mejor
2,5. MPIW,mpiw,train,PSBPM-FD (predictiva bayesiana),1.0,540,menor es mejor
2,5. MPIW,mpiw,test,FAR (IC del modelo AR),0.0,221,menor es mejor
2,5. MPIW,mpiw,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.0,221,menor es mejor
2,5. MPIW,mpiw,test,PSBPM-FD (predictiva bayesiana),1.0,221,menor es mejor
2,6. PICP puntual,picp,train,FAR (IC del modelo AR),0.65,540,|valor - nominal|
2,6. PICP puntual,picp,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.35,540,|valor - nominal|
2,6. PICP puntual,picp,train,PSBPM-FD (predictiva bayesiana),0.0,540,|valor - nominal|
2,6. PICP puntual,picp,test,FAR (IC del modelo AR),0.6923076923076923,221,|valor - nominal|
2,6. PICP puntual,picp,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.3076923076923077,221,|valor - nominal|
2,6. PICP puntual,picp,test,PSBPM-FD (predictiva bayesiana),0.0,221,|valor - nominal|
2,7. PICPB curva completa,picp_simultaneo,train,FAR (IC del modelo AR),0.6518518518518519,540,|valor - nominal|
2,7. PICPB curva completa,picp_simultaneo,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.34814814814814815,540,|valor - nominal|
2,7. PICPB curva completa,picp_simultaneo,train,PSBPM-FD (predictiva bayesiana),0.0,540,|valor - nominal|
2,7. PICPB curva completa,picp_simultaneo,test,FAR (IC del modelo AR),0.39819004524886875,221,|valor - nominal|
2,7. PICPB curva completa,picp_simultaneo,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.6018099547511312,221,|valor - nominal|
2,7. PICPB curva completa,picp_simultaneo,test,PSBPM-FD (predictiva bayesiana),0.0,221,|valor - nominal|
2,8. Winkler,winkler,train,FAR (IC del modelo AR),0.8611111111111112,540,menor es mejor
2,8. Winkler,winkler,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.1388888888888889,540,menor es mejor
2,8. Winkler,winkler,train,PSBPM-FD (predictiva bayesiana),0.0,540,menor es mejor
2,8. Winkler,winkler,test,FAR (IC del modelo AR),0.9140271493212669,221,menor es mejor
2,8. Winkler,winkler,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.08597285067873303,221,menor es mejor
2,8. Winkler,winkler,test,PSBPM-FD (predictiva bayesiana),0.0,221,menor es mejor
2,9. Winkler max promedio,winkler_max_medio,train,FAR (IC del modelo AR),0.5444444444444444,540,menor es mejor
2,9. Winkler max promedio,winkler_max_medio,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.45555555555555555,540,menor es mejor
2,9. Winkler max promedio,winkler_max_medio,train,PSBPM-FD (predictiva bayesiana),0.0,540,menor es mejor
2,9. Winkler max promedio,winkler_max_medio,test,FAR (IC del modelo AR),0.497737556561086,221,menor es mejor
2,9. Winkler max promedio,winkler_max_medio,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.502262443438914,221,menor es mejor
2,9. Winkler max promedio,winkler_max_medio,test,PSBPM-FD (predictiva bayesiana),0.0,221,menor es mejor
2,10. Winkler max peor ventana,winkler_max_glob,train,FAR (IC del modelo AR),0.47962962962962963,540,menor es mejor
2,10. Winkler max peor ventana,winkler_max_glob,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.5203703703703704,540,menor es mejor
2,10. Winkler max peor ventana,winkler_max_glob,train,PSBPM-FD (predictiva bayesiana),0.0,540,menor es mejor
2,10. Winkler max peor ventana,winkler_max_glob,test,FAR (IC del modelo AR),0.5610859728506787,221,menor es mejor
2,10. Winkler max peor ventana,winkler_max_glob,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.43891402714932126,221,menor es mejor
2,10. Winkler max peor ventana,winkler_max_glob,test,PSBPM-FD (predictiva bayesiana),0.0,221,menor es mejor
3,5. MPIW,mpiw,train,FAR (IC del modelo AR),0.0,540,menor es mejor
3,5. MPIW,mpiw,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.0,540,menor es mejor
3,5. MPIW,mpiw,train,PSBPM-FD (predictiva bayesiana),1.0,540,menor es mejor
3,5. MPIW,mpiw,test,FAR (IC del modelo AR),0.0,221,menor es mejor
3,5. MPIW,mpiw,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.0,221,menor es mejor
3,5. MPIW,mpiw,test,PSBPM-FD (predictiva bayesiana),1.0,221,menor es mejor
3,6. PICP puntual,picp,train,FAR (IC del modelo AR),0.5092592592592593,540,|valor - nominal|
3,6. PICP puntual,picp,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.4888888888888889,540,|valor - nominal|
3,6. PICP puntual,picp,train,PSBPM-FD (predictiva bayesiana),0.001851851851851852,540,|valor - nominal|
