t,bloque,I_t_puntual,I_t_simultaneo
2,train,0.5466666666666666,0.0
3,train,0.5333333333333333,0.0
4,train,1.0,1.0
5,train,0.76,0.0
6,train,0.72,0.0
7,train,0.5733333333333334,0.0
8,train,0.24,0.0
9,train,0.52,0.0
10,train,0.76,0.0
11,train,0.30666666666666664,0.0
12,train,0.44,0.0
13,train,0.6266666666666667,0.0
14,train,0.7066666666666667,0.0
15,train,0.7066666666666667,0.0
16,train,0.84,0.0
17,train,0.7333333333333333,0.0
18,train,0.7466666666666667,0.0
19,train,0.5066666666666667,0.0
20,train,0.64,0.0
21,train,0.5866666666666667,0.0
22,train,0.6533333333333333,0.0
23,train,0.8133333333333334,0.0
24,train,0.6933333333333334,0.0
25,train,0.5733333333333334,0.0
26,train,0.7866666666666666,0.0
27,train,0.68,0.0
28,train,0.5733333333333334,0.0
29,train,0.8533333333333334,0.0
30,train,0.7333333333333333,0.0
31,train,0.7066666666666667,0.0
32,train,0.64,0.0
33,train,0.5733333333333334,0.0
34,train,0.4533333333333333,0.0
35,train,0.41333333333333333,0.0
36,train,0.7333333333333333,0.0
37,train,0.5466666666666666,0.0
38,train,0.6933333333333334,0.0
39,train,0.4666666666666667,0.0
40,train,0.6666666666666666,0.0
41,train,0.6133333333333333,0.0
42,train,0.6533333333333333,0.0
43,train,0.5066666666666667,0.0
44,train,0.7733333333333333,0.0
45,train,0.76,0.0
46,train,0.9066666666666666,0.0
47,train,0.5866666666666667,0.0
48,train,0.5066666666666667,0.0
49,train,0.7866666666666666,0.0
50,train,0.9333333333333333,0.0
51,train,0.76,0.0
52,train,0.7066666666666667,0.0
53,train,0.3333333333333333,0.0
54,train,0.6266666666666667,0.0
55,train,0.30666666666666664,0.0
56,train,0.38666666666666666,0.0
57,train,0.7733333333333333,0.0
58,train,0.6,0.0
59,train,0.7066666666666667,0.0
60,train,0.7333333333333333,0.0
61,train,0.68,0.0
62,train,0.38666666666666666,0.0
63,train,0.64,0.0
64,train,0.76,0.0
65,train,0.5733333333333334,0.0
66,train,0.7466666666666667,0.0
67,train,0.68,0.0
68,train,0.6933333333333334,0.0
69,train,0.37333333333333335,0.0
70,train,0.8266666666666667,0.0
71,train,0.32,0.0
72,train,0.92,0.0
73,train,0.6666666666666666,0.0
74,train,0.29333333333333333,0.0
75,train,0.64,0.0
76,train,0.6666666666666666,0.0
77,train,0.8666666666666667,0.0
78,train,0.2,0.0
79,train,0.6266666666666667,0.0
80,train,0.7333333333333333,0.0
81,train,0.24,0.0
82,train,0.5333333333333333,0.0
83,train,0.64,0.0
84,train,0.7066666666666667,0.0
85,train,0.6266666666666667,0.0
86,train,0.5066666666666667,0.0
87,train,0.8133333333333334,0.0
88,train,0.7866666666666666,0.0
89,train,0.56,0.0
90,train,0.4,0.0
91,train,0.6266666666666667,0.0
92,train,0.5066666666666667,0.0
93,train,0.8666666666666667,0.0
94,train,0.5466666666666666,0.0
95,train,0.84,0.0
96,train,0.6133333333333333,0.0
97,train,0.7333333333333333,0.0
98,train,0.41333333333333333,0.0
99,train,0.6666666666666666,0.0
100,train,0.8,0.0
101,train,0.48,0.0
102,train,0.6533333333333333,0.0
103,train,0.44,0.0
104,train,0.56,0.0
105,train,0.5066666666666667,0.0
106,train,0.4,0.0
107,train,0.5333333333333333,0.0
108,train,0.8266666666666667,0.0
109,train,0.7066666666666667,0.0
110,train,0.5866666666666667,0.0
111,train,0.5733333333333334,0.0
112,train,0.7733333333333333,0.0
113,train,0.6533333333333333,0.0
114,train,0.5066666666666667,0.0
115,train,0.6133333333333333,0.0
