grupo,t,banda,rmse_f_PSBPM,mpiw,picp_puntual,I_t_simultaneo
mejores,799,FAR (IC del modelo AR),0.45537155264684237,3.9031244157825062,1.0,1.0
mejores,799,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.45537155264684237,4.1407301052711425,1.0,1.0
mejores,799,PSBPM-FD (predictiva bayesiana),0.45537155264684237,1.7716912386069694,0.8666666666666667,0.0
mejores,691,FAR (IC del modelo AR),0.5170394450170109,3.9031244157825062,1.0,1.0
mejores,691,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.5170394450170109,4.1407301052711425,1.0,1.0
mejores,691,PSBPM-FD (predictiva bayesiana),0.5170394450170109,1.8471623847881953,1.0,1.0
mejores,717,FAR (IC del modelo AR),0.5331593129646333,3.903124415782507,1.0,1.0
mejores,717,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.5331593129646333,4.1407301052711425,1.0,1.0
mejores,717,PSBPM-FD (predictiva bayesiana),0.5331593129646333,1.8117334529260793,1.0,1.0
mejores,757,FAR (IC del modelo AR),0.534872211768237,3.9031244157825062,1.0,1.0
mejores,757,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.534872211768237,4.1407301052711425,1.0,1.0
mejores,757,PSBPM-FD (predictiva bayesiana),0.534872211768237,1.9148264149576426,0.8933333333333333,0.0
mejores,795,FAR (IC del modelo AR),0.5514129600148067,3.9031244157825062,1.0,1.0
mejores,795,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.5514129600148067,4.1407301052711425,1.0,1.0
mejores,795,PSBPM-FD (predictiva bayesiana),0.5514129600148067,1.8173457392180958,0.9333333333333333,0.0
peores,652,FAR (IC del modelo AR),2.1004905001525165,3.9031244157825062,0.6,0.0
peores,652,"PSBPM-FD (IC gaussiano, mismo mecanismo)",2.1004905001525165,4.1407301052711425,0.5866666666666667,0.0
peores,652,PSBPM-FD (predictiva bayesiana),2.1004905001525165,1.879107460429271,0.32,0.0
peores,650,FAR (IC del modelo AR),1.9695385126732579,3.9031244157825062,0.6,0.0
peores,650,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.9695385126732579,4.1407301052711425,0.56,0.0
peores,650,PSBPM-FD (predictiva bayesiana),1.9695385126732579,1.87052662121132,0.13333333333333333,0.0
peores,762,FAR (IC del modelo AR),1.7923766895391549,3.9031244157825062,0.6933333333333334,0.0
peores,762,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.7923766895391549,4.1407301052711425,0.68,0.0
peores,762,PSBPM-FD (predictiva bayesiana),1.7923766895391549,1.8234013608160118,0.26666666666666666,0.0
peores,787,FAR (IC del modelo AR),1.7529101780951184,3.9031244157825062,0.6533333333333333,0.0
peores,787,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.7529101780951184,4.1407301052711425,0.72,0.0
peores,787,PSBPM-FD (predictiva bayesiana),1.7529101780951184,1.7994849361851812,0.36,0.0
peores,738,FAR (IC del modelo AR),1.7211417589366542,3.9031244157825062,0.76,0.0
peores,738,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.7211417589366542,4.1407301052711425,0.7733333333333333,0.0
peores,738,PSBPM-FD (predictiva bayesiana),1.7211417589366542,1.8072984894861777,0.26666666666666666,0.0
