M,FPC,cadena,media,max,p99,N_trunc,toca_truncamiento
1,1,1,10.520666666666667,25,19.00999999999999,35,False
1,1,2,7.072666666666667,24,16.0,35,False
2,1,1,6.1513333333333335,26,17.0,35,False
2,1,2,6.706,32,17.0,35,False
2,2,1,11.108666666666666,29,20.0,35,False
2,2,2,8.118666666666666,28,16.0,35,False
3,1,1,6.742666666666667,22,16.00999999999999,35,False
3,1,2,7.453333333333333,26,16.00999999999999,35,False
3,2,1,7.346,33,15.0,35,False
3,2,2,11.074,27,19.0,35,False
3,3,1,11.154666666666667,28,21.0,35,False
3,3,2,6.688,27,16.0,35,False
4,1,1,4.708666666666667,24,17.0,35,False
4,1,2,6.8453333333333335,29,17.00999999999999,35,False
4,2,1,11.199333333333334,29,20.0,35,False
4,2,2,8.692,25,17.0,35,False
4,3,1,7.104666666666667,28,16.0,35,False
4,3,2,3.8786666666666667,35,15.0,35,True
4,4,1,6.314,23,16.0,35,False
4,4,2,6.998666666666667,27,15.0,35,False
