M,covariable,componente,pip
1,fpc_1_lag1,FPC 1,1.0
2,fpc_1_lag1,FPC 1,1.0
2,fpc_1_lag1,FPC 2,0.057666666666666644
2,fpc_2_lag1,FPC 1,0.06033333333333335
2,fpc_2_lag1,FPC 2,1.0
3,fpc_1_lag1,FPC 1,1.0
3,fpc_1_lag1,FPC 2,0.07433333333333336
3,fpc_1_lag1,FPC 3,0.08666666666666667
3,fpc_2_lag1,FPC 1,0.08399999999999996
3,fpc_2_lag1,FPC 2,1.0
3,fpc_2_lag1,FPC 3,0.07066666666666666
3,fpc_3_lag1,FPC 1,0.05266666666666664
3,fpc_3_lag1,FPC 2,0.06266666666666665
3,fpc_3_lag1,FPC 3,1.0
4,fpc_1_lag1,FPC 1,1.0
4,fpc_1_lag1,FPC 2,0.07266666666666671
4,fpc_1_lag1,FPC 3,0.09866666666666668
4,fpc_1_lag1,FPC 4,0.08566666666666667
4,fpc_2_lag1,FPC 1,0.06866666666666665
4,fpc_2_lag1,FPC 2,1.0
4,fpc_2_lag1,FPC 3,0.09200000000000003
4,fpc_2_lag1,FPC 4,0.08666666666666667
4,fpc_3_lag1,FPC 1,0.0683333333333333
4,fpc_3_lag1,FPC 2,0.08066666666666666
4,fpc_3_lag1,FPC 3,1.0
4,fpc_3_lag1,FPC 4,0.09099999999999997
4,fpc_4_lag1,FPC 1,0.05933333333333335
4,fpc_4_lag1,FPC 2,0.067
4,fpc_4_lag1,FPC 3,0.08733333333333332
4,fpc_4_lag1,FPC 4,1.0
