metrica,bloque,columna,minimo,maximo,promedio
1. MAE  (L^1),train,mae_f,0.6993023577398971,0.9955221571012685,0.840244560389049
1. MAE  (L^1),test,mae_f,0.7726973018520443,1.0738018721944471,0.8779924699083919
2. RMSE (L^2),train,rmse_f,0.8715771225471148,1.2437941183751027,1.049994800283705
2. RMSE (L^2),test,rmse_f,0.9612802035745716,1.3331903946777512,1.0888274176830661
3. E_max promedio por curva,train,linf_medio,1.7279864251497266,2.3767623976476866,2.0160815276904875
3. E_max promedio por curva,test,linf_medio,1.8084130288828046,2.4225968869912915,2.05264594458685
4. E_max peor de la ventana,train,linf_max,2.315456065129876,4.4014713582484335,3.236592637068836
4. E_max peor de la ventana,test,linf_max,2.5475783213608016,3.96847669558623,3.177304257123916
5. MPIW,train,mpiw,1.787750899332983,1.9422243657714606,1.848764403349555
5. MPIW,test,mpiw,1.7877066649869855,1.8917962701547828,1.8402940513638943
6. PICP puntual,train,picp,0.504,0.6966666666666667,0.6046654320987653
6. PICP puntual,test,picp,0.49333333333333335,0.6633333333333333,0.5809049773755656
7. PICPB curva completa,train,picp_simultaneo,0.0,0.05,0.00027777777777777783
7. PICPB curva completa,test,picp_simultaneo,0.0,0.05,0.00904977375565611
8. Winkler,train,winkler,7.390937481397617,15.285856131022305,11.533242664493285
8. Winkler,test,winkler,9.422288159108522,18.233658535037968,12.59299780312991
9. Winkler max promedio,train,winkler_max_medio,40.687913267748016,63.46912662754329,51.5802393494471
9. Winkler max promedio,test,winkler_max_medio,41.82710089890183,64.88836621732504,54.492054942076386
10. Winkler max peor ventana,train,winkler_max_glob,73.45246040265613,141.9047260337847,102.72099352618035
10. Winkler max peor ventana,test,winkler_max_glob,76.74661195378087,143.2440196903383,100.4213969540647
