M,covariable,componente,pip
1,fpc_1_lag1,FPC 1,1.0
2,fpc_1_lag1,FPC 1,1.0
2,fpc_1_lag1,FPC 2,0.07366666666666666
2,fpc_2_lag1,FPC 1,0.041000000000000036
2,fpc_2_lag1,FPC 2,1.0
3,fpc_1_lag1,FPC 1,1.0
3,fpc_1_lag1,FPC 2,0.0683333333333333
3,fpc_1_lag1,FPC 3,0.09433333333333332
3,fpc_2_lag1,FPC 1,0.063
3,fpc_2_lag1,FPC 2,1.0
3,fpc_2_lag1,FPC 3,0.08833333333333332
3,fpc_3_lag1,FPC 1,0.06933333333333336
3,fpc_3_lag1,FPC 2,0.07299999999999995
3,fpc_3_lag1,FPC 3,1.0
4,fpc_1_lag1,FPC 1,1.0
4,fpc_1_lag1,FPC 2,0.06133333333333335
4,fpc_1_lag1,FPC 3,0.08533333333333337
4,fpc_1_lag1,FPC 4,0.08400000000000002
4,fpc_2_lag1,FPC 1,0.08200000000000002
4,fpc_2_lag1,FPC 2,1.0
4,fpc_2_lag1,FPC 3,0.10866666666666663
4,fpc_2_lag1,FPC 4,0.05733333333333335
4,fpc_3_lag1,FPC 1,0.07666666666666666
4,fpc_3_lag1,FPC 2,0.08599999999999997
4,fpc_3_lag1,FPC 3,1.0
4,fpc_3_lag1,FPC 4,0.05266666666666664
4,fpc_4_lag1,FPC 1,0.06366666666666665
4,fpc_4_lag1,FPC 2,0.0713333333333333
4,fpc_4_lag1,FPC 3,0.1206666666666667
4,fpc_4_lag1,FPC 4,1.0
