M,metrica,bloque,modelo,razon_vs_mejor,razon_vs_FAR
1,1. MAE  (L^1),train,FAR,1.0080873715485215,1.0
1,1. MAE  (L^1),train,RF,1.0372883360286016,1.029553729764408
1,1. MAE  (L^1),train,GBT,1.03588759433983,1.0281855828171202
1,1. MAE  (L^1),train,PSBPM-FD,1.0717952219551679,1.0635759567609153
1,1. MAE  (L^1),test,FAR,1.0057421113821747,1.0
1,1. MAE  (L^1),test,RF,1.0755636273288032,1.0699878136500085
1,1. MAE  (L^1),test,GBT,1.0758553773986563,1.0702711968509449
1,1. MAE  (L^1),test,PSBPM-FD,1.064320823820801,1.0586821628878391
1,2. RMSE (L^2),train,FAR,1.0072644816189937,1.0
1,2. RMSE (L^2),train,RF,1.0341237896415438,1.0270788987639705
1,2. RMSE (L^2),train,GBT,1.0329332805995448,1.0259084386144368
1,2. RMSE (L^2),train,PSBPM-FD,1.0696550439163144,1.0622191253428717
1,2. RMSE (L^2),test,FAR,1.0021196415733875,1.0
1,2. RMSE (L^2),test,RF,1.0754632786022482,1.0733590768597225
1,2. RMSE (L^2),test,GBT,1.075367127336348,1.073242488313961
1,2. RMSE (L^2),test,PSBPM-FD,1.0604596210324264,1.0583820072727135
1,3. E_max promedio por curva,train,FAR,1.0035525307491695,1.0
1,3. E_max promedio por curva,train,RF,1.036494828899249,1.032997652991835
1,3. E_max promedio por curva,train,GBT,1.0349374058426748,1.0314610736574175
1,3. E_max promedio por curva,train,PSBPM-FD,1.0604158632031655,1.0568118030114158
1,3. E_max promedio por curva,test,FAR,1.00268642017603,1.0
1,3. E_max promedio por curva,test,RF,1.0658056387155306,1.0631354774076978
1,3. E_max promedio por curva,test,GBT,1.0632517541230564,1.060570676161698
1,3. E_max promedio por curva,test,PSBPM-FD,1.0453562717368388,1.0427285995451687
1,4. E_max peor de la ventana,train,FAR,1.0392674555897996,1.0
1,4. E_max peor de la ventana,train,RF,1.067380730282166,1.0310974562086233
1,4. E_max peor de la ventana,train,GBT,1.0653547606790423,1.0295460201711775
