M,metrica,bloque,banda,razon_vs_mejor
1,5. MPIW,train,FAR (IC del modelo AR),2.1258164223631386
1,5. MPIW,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",2.2552972996029665
1,5. MPIW,train,PSBPM-FD (predictiva bayesiana),1.0
1,5. MPIW,test,FAR (IC del modelo AR),2.1277153936276667
1,5. MPIW,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",2.257311934883728
1,5. MPIW,test,PSBPM-FD (predictiva bayesiana),1.0
1,6. PICP puntual,train,FAR (IC del modelo AR),1.6117680606131957
1,6. PICP puntual,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.7152597945303187
1,6. PICP puntual,train,PSBPM-FD (predictiva bayesiana),92.53599773759788
1,6. PICP puntual,test,FAR (IC del modelo AR),2.171037428028726
1,6. PICP puntual,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.9634281504607212
1,6. PICP puntual,test,PSBPM-FD (predictiva bayesiana),119.14972883439646
1,7. PICPB curva completa,train,FAR (IC del modelo AR),1.0963091229757895
1,7. PICPB curva completa,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.154217372134039
1,7. PICPB curva completa,train,PSBPM-FD (predictiva bayesiana),3.265197611030945
1,7. PICPB curva completa,test,FAR (IC del modelo AR),1.0967894850247788
1,7. PICPB curva completa,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0640307781710496
1,7. PICPB curva completa,test,PSBPM-FD (predictiva bayesiana),2.4862542309374893
1,8. Winkler,train,FAR (IC del modelo AR),1.0016610993283828
1,8. Winkler,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.057508114059487
1,8. Winkler,train,PSBPM-FD (predictiva bayesiana),2.4799474243484654
1,8. Winkler,test,FAR (IC del modelo AR),1.0046906243385378
1,8. Winkler,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.070331041036852
1,8. Winkler,test,PSBPM-FD (predictiva bayesiana),2.680165550502609
1,9. Winkler max promedio,train,FAR (IC del modelo AR),1.0365905777559314
1,9. Winkler max promedio,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0851093749419756
1,9. Winkler max promedio,train,PSBPM-FD (predictiva bayesiana),4.678637965745875
1,9. Winkler max promedio,test,FAR (IC del modelo AR),1.0440551429350382
1,9. Winkler max promedio,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.0747170797762735
1,9. Winkler max promedio,test,PSBPM-FD (predictiva bayesiana),4.6288945686379845
1,10. Winkler max peor ventana,train,FAR (IC del modelo AR),1.1187794785538312
1,10. Winkler max peor ventana,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.124283147160415
1,10. Winkler max peor ventana,train,PSBPM-FD (predictiva bayesiana),2.45869184864255
1,10. Winkler max peor ventana,test,FAR (IC del modelo AR),1.083103227756259
1,10. Winkler max peor ventana,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.1070050558015678
1,10. Winkler max peor ventana,test,PSBPM-FD (predictiva bayesiana),2.3806347655009854
2,5. MPIW,train,FAR (IC del modelo AR),1.5302449889954497
2,5. MPIW,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.5832702658742417
2,5. MPIW,train,PSBPM-FD (predictiva bayesiana),1.0
2,5. MPIW,test,FAR (IC del modelo AR),1.526401383067358
2,5. MPIW,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.5792934732538129
2,5. MPIW,test,PSBPM-FD (predictiva bayesiana),1.0
2,6. PICP puntual,train,FAR (IC del modelo AR),1.5092294580294228
2,6. PICP puntual,train,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.7477551539687528
2,6. PICP puntual,train,PSBPM-FD (predictiva bayesiana),47.826464511724694
2,6. PICP puntual,test,FAR (IC del modelo AR),1.4913162927196209
2,6. PICP puntual,test,"PSBPM-FD (IC gaussiano, mismo mecanismo)",2.4694917558207417
