metrica,bloque,columna,minimo,maximo,promedio
1. MAE  (L^1),train,mae_f,0.697063793862208,0.9683368629706386,0.8171761122593345
1. MAE  (L^1),test,mae_f,0.7620845593862251,0.9826078793860715,0.8506145511832973
2. RMSE (L^2),train,rmse_f,0.8821900653698468,1.1823288730886445,1.0231616273532298
2. RMSE (L^2),test,rmse_f,0.9636949685381002,1.2142263662063746,1.0553896789364883
3. E_max promedio por curva,train,linf_medio,1.7143643428510789,2.28634231808504,1.9656898963235954
3. E_max promedio por curva,test,linf_medio,1.814833762788561,2.2690895723592637,2.0153046844111895
4. E_max peor de la ventana,train,linf_max,2.3849778628277223,4.038730463843075,3.1199481501050186
4. E_max peor de la ventana,test,linf_max,2.5703112913278816,4.008291090877934,3.127661922480835
5. MPIW,train,mpiw,2.51881432365203,2.5841690235941503,2.5507107487967087
5. MPIW,test,mpiw,2.5412592951984645,2.5869614157562713,2.5571132703778243
6. PICP puntual,train,picp,0.666,0.8446666666666667,0.7653456790123457
6. PICP puntual,test,picp,0.668,0.8126666666666666,0.7549803921568627
7. PICPB curva completa,train,picp_simultaneo,0.0,0.15,0.032685185185185185
7. PICPB curva completa,test,picp_simultaneo,0.0,0.05,0.018099547511312215
8. Winkler,train,winkler,5.176683861924991,9.990804579683578,7.430105749789336
8. Winkler,test,winkler,5.945683895473293,10.440269169621217,7.820683558839514
9. Winkler max promedio,train,winkler_max_medio,28.71441824334314,51.01603203366199,39.0066220432967
9. Winkler max promedio,test,winkler_max_medio,32.13754726482948,50.926873180274,41.594687087448364
10. Winkler max peor ventana,train,winkler_max_glob,57.77069064209397,124.74119809103053,87.53160137169678
10. Winkler max peor ventana,test,winkler_max_glob,69.47661480894186,140.54935174948875,91.15596185980739
