grupo,t,banda,rmse_f_PSBPM,mpiw,picp_puntual,I_t_simultaneo
mejores,799,FAR (IC del modelo AR),0.4969864185851994,3.9031244157825062,1.0,1.0
mejores,799,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.4969864185851994,4.038373512709859,1.0,1.0
mejores,799,PSBPM-FD (predictiva bayesiana),0.4969864185851994,2.5467640366156896,0.9066666666666666,0.0
mejores,786,FAR (IC del modelo AR),0.499652720340746,3.9031244157825062,1.0,1.0
mejores,786,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.499652720340746,4.038373512709859,1.0,1.0
mejores,786,PSBPM-FD (predictiva bayesiana),0.499652720340746,2.545848524173101,0.96,0.0
mejores,684,FAR (IC del modelo AR),0.5353293885794226,3.9031244157825062,1.0,1.0
mejores,684,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.5353293885794226,4.038373512709859,1.0,1.0
mejores,684,PSBPM-FD (predictiva bayesiana),0.5353293885794226,2.5301974064918857,1.0,1.0
mejores,680,FAR (IC del modelo AR),0.5389240089016345,3.9031244157825062,1.0,1.0
mejores,680,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.5389240089016345,4.038373512709859,1.0,1.0
mejores,680,PSBPM-FD (predictiva bayesiana),0.5389240089016345,2.5162141118446986,0.92,0.0
mejores,757,FAR (IC del modelo AR),0.539999022590272,3.9031244157825062,1.0,1.0
mejores,757,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.539999022590272,4.038373512709859,1.0,1.0
mejores,757,PSBPM-FD (predictiva bayesiana),0.539999022590272,2.5851322854558627,1.0,1.0
peores,652,FAR (IC del modelo AR),1.8459644901067729,3.9031244157825062,0.6,0.0
peores,652,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.8459644901067729,4.038373512709859,0.6,0.0
peores,652,PSBPM-FD (predictiva bayesiana),1.8459644901067729,2.47360289533933,0.41333333333333333,0.0
peores,650,FAR (IC del modelo AR),1.8080834366662135,3.9031244157825062,0.6,0.0
peores,650,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.8080834366662135,4.038373512709859,0.5733333333333334,0.0
peores,650,PSBPM-FD (predictiva bayesiana),1.8080834366662135,2.454700068235397,0.30666666666666664,0.0
peores,787,FAR (IC del modelo AR),1.7942657570425147,3.9031244157825062,0.6533333333333333,0.0
peores,787,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.7942657570425147,4.038373512709859,0.64,0.0
peores,787,PSBPM-FD (predictiva bayesiana),1.7942657570425147,2.605467756589254,0.41333333333333333,0.0
peores,762,FAR (IC del modelo AR),1.788198265828934,3.9031244157825062,0.6933333333333334,0.0
peores,762,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.788198265828934,4.038373512709859,0.6666666666666666,0.0
peores,762,PSBPM-FD (predictiva bayesiana),1.788198265828934,2.6337698396046956,0.41333333333333333,0.0
peores,661,FAR (IC del modelo AR),1.6528385173192148,3.9031244157825062,0.8,0.0
peores,661,"PSBPM-FD (IC gaussiano, mismo mecanismo)",1.6528385173192148,4.038373512709859,0.6933333333333334,0.0
peores,661,PSBPM-FD (predictiva bayesiana),1.6528385173192148,2.5860324747860433,0.48,0.0
