M,metrica,bloque,banda,razon_vs_mejor
1,5. MPIW,train,FAR (IC del modelo AR),1.0
1,5. MPIW,test,FAR (IC del modelo AR),1.0
1,6. PICP puntual,train,FAR (IC del modelo AR),1.0
1,6. PICP puntual,test,FAR (IC del modelo AR),1.0
1,7. PICPB curva completa,train,FAR (IC del modelo AR),1.0
1,7. PICPB curva completa,test,FAR (IC del modelo AR),1.0
1,8. Winkler,train,FAR (IC del modelo AR),1.0
1,8. Winkler,test,FAR (IC del modelo AR),1.0
1,9. Winkler max promedio,train,FAR (IC del modelo AR),1.0
1,9. Winkler max promedio,test,FAR (IC del modelo AR),1.0
1,10. Winkler max peor ventana,train,FAR (IC del modelo AR),1.0
1,10. Winkler max peor ventana,test,FAR (IC del modelo AR),1.0
2,5. MPIW,train,FAR (IC del modelo AR),1.0
2,5. MPIW,test,FAR (IC del modelo AR),1.0
2,6. PICP puntual,train,FAR (IC del modelo AR),1.0
2,6. PICP puntual,test,FAR (IC del modelo AR),1.0
2,7. PICPB curva completa,train,FAR (IC del modelo AR),1.0
2,7. PICPB curva completa,test,FAR (IC del modelo AR),1.0
2,8. Winkler,train,FAR (IC del modelo AR),1.0
2,8. Winkler,test,FAR (IC del modelo AR),1.0
2,9. Winkler max promedio,train,FAR (IC del modelo AR),1.0
2,9. Winkler max promedio,test,FAR (IC del modelo AR),1.0
2,10. Winkler max peor ventana,train,FAR (IC del modelo AR),1.0
2,10. Winkler max peor ventana,test,FAR (IC del modelo AR),1.0
3,5. MPIW,train,FAR (IC del modelo AR),1.0
3,5. MPIW,test,FAR (IC del modelo AR),1.0
3,6. PICP puntual,train,FAR (IC del modelo AR),1.0
3,6. PICP puntual,test,FAR (IC del modelo AR),1.0
3,7. PICPB curva completa,train,FAR (IC del modelo AR),1.0
3,7. PICPB curva completa,test,FAR (IC del modelo AR),1.0
3,8. Winkler,train,FAR (IC del modelo AR),1.0
3,8. Winkler,test,FAR (IC del modelo AR),1.0
3,9. Winkler max promedio,train,FAR (IC del modelo AR),1.0
3,9. Winkler max promedio,test,FAR (IC del modelo AR),1.0
3,10. Winkler max peor ventana,train,FAR (IC del modelo AR),1.0
3,10. Winkler max peor ventana,test,FAR (IC del modelo AR),1.0
4,5. MPIW,train,FAR (IC del modelo AR),1.0
4,5. MPIW,test,FAR (IC del modelo AR),1.0
4,6. PICP puntual,train,FAR (IC del modelo AR),1.0
4,6. PICP puntual,test,FAR (IC del modelo AR),1.0
4,7. PICPB curva completa,train,FAR (IC del modelo AR),1.0
4,7. PICPB curva completa,test,FAR (IC del modelo AR),1.0
4,8. Winkler,train,FAR (IC del modelo AR),1.0
4,8. Winkler,test,FAR (IC del modelo AR),1.0
4,9. Winkler max promedio,train,FAR (IC del modelo AR),1.0
4,9. Winkler max promedio,test,FAR (IC del modelo AR),1.0
4,10. Winkler max peor ventana,train,FAR (IC del modelo AR),1.0
4,10. Winkler max peor ventana,test,FAR (IC del modelo AR),1.0
