M,metrica,columna,banda,bloque,minimo,maximo,promedio
1,5. MPIW,mpiw,FAR (IC del modelo AR),test,5.245249172487301,5.245249172487301,5.245249172487301
1,5. MPIW,mpiw,FAR (IC del modelo AR),train,5.245249172487301,5.245249172487301,5.245249172487301
1,5. MPIW,mpiw,"PSBPM-FD (IC gaussiano, mismo mecanismo)",test,5.4260579148339385,5.426057914833939,5.426057914833939
1,5. MPIW,mpiw,"PSBPM-FD (IC gaussiano, mismo mecanismo)",train,5.4260579148339385,5.426057914833939,5.426057914833939
1,5. MPIW,mpiw,PSBPM-FD (predictiva bayesiana),test,5.6382253576728205,7.427698246118923,6.3289577208214185
1,5. MPIW,mpiw,PSBPM-FD (predictiva bayesiana),train,4.475751195028424,5.612957233675833,4.879213754847189
1,6. PICP puntual,picp,FAR (IC del modelo AR),test,0.4206666666666667,0.9353333333333333,0.7455966785290629
1,6. PICP puntual,picp,FAR (IC del modelo AR),train,0.8813333333333333,1.0,0.9545058823529411
1,6. PICP puntual,picp,"PSBPM-FD (IC gaussiano, mismo mecanismo)",test,0.3466666666666667,0.9173333333333333,0.6947544483985765
1,6. PICP puntual,picp,"PSBPM-FD (IC gaussiano, mismo mecanismo)",train,0.8346666666666667,1.0,0.9553637254901961
1,6. PICP puntual,picp,PSBPM-FD (predictiva bayesiana),test,0.5126666666666667,0.8966666666666666,0.7375065243179122
1,6. PICP puntual,picp,PSBPM-FD (predictiva bayesiana),train,0.798,1.0,0.9235764705882353
1,7. PICPB curva completa,picp_simultaneo,FAR (IC del modelo AR),test,0.25,0.75,0.5322064056939502
1,7. PICPB curva completa,picp_simultaneo,FAR (IC del modelo AR),train,0.65,1.0,0.8676470588235294
1,7. PICPB curva completa,picp_simultaneo,"PSBPM-FD (IC gaussiano, mismo mecanismo)",test,0.2,0.75,0.4907473309608541
1,7. PICPB curva completa,picp_simultaneo,"PSBPM-FD (IC gaussiano, mismo mecanismo)",train,0.65,1.0,0.8713235294117647
