metrica,bloque,columna,minimo,maximo,promedio,M
1. MAE  (L^1),train,mae_f,1.9991270665178884,2.6545232427559333,2.261458196021722,1
1. MAE  (L^1),test,mae_f,1.9529266844742668,2.5062814901395316,2.254885851136503,1
2. RMSE (L^2),train,rmse_f,2.5263251169506553,3.2666196166197903,2.8220973514255667,1
2. RMSE (L^2),test,rmse_f,2.440962675420433,3.1178089384895427,2.8174650465200615,1
3. E_max promedio por curva,train,linf_medio,5.413566705678322,6.6286602333531075,5.994007057283986,1
3. E_max promedio por curva,test,linf_medio,5.240467532953916,6.5187993654826695,5.930843289317076,1
4. E_max peor de la ventana,train,linf_max,6.945255333982577,11.86486521390306,8.57746820983186,1
4. E_max peor de la ventana,test,linf_max,7.221548515709045,9.439379981562718,8.40162930171356,1
5. MPIW,train,mpiw,4.7768601504073365,4.962538248031502,4.878627465224929,1
5. MPIW,test,mpiw,4.810074261388102,4.932941170545282,4.867878751921725,1
6. PICP puntual,train,picp,0.534,0.68,0.6103274509803922,1
6. PICP puntual,test,picp,0.5546666666666666,0.6626666666666666,0.6086476868327402,1
7. PICPB curva completa,train,picp_simultaneo,0.0,0.0,0.0,1
7. PICPB curva completa,test,picp_simultaneo,0.0,0.0,0.0,1
8. Winkler,train,winkler,23.109635771854606,38.862439847142696,29.42169543089178,1
8. Winkler,test,winkler,21.69074266028294,36.82445303348993,29.49138689319874,1
9. Winkler max promedio,train,winkler_max_medio,124.85893251953368,172.63627901879119,147.49097294248656,1
9. Winkler max promedio,test,winkler_max_medio,118.370343430088,168.1224428780624,145.10401020872973,1
10. Winkler max peor ventana,train,winkler_max_glob,185.90654707892023,382.80706830912897,251.53982934872533,1
10. Winkler max peor ventana,test,winkler_max_glob,199.28706890811088,281.0375047562645,244.02068344409707,1
1. MAE  (L^1),train,mae_f,0.7244323247895842,1.6745788923380303,1.1515732472846958,2
1. MAE  (L^1),test,mae_f,0.8952860717910177,1.7693157109171274,1.1832359413889362,2
2. RMSE (L^2),train,rmse_f,0.9222919373203569,2.2891557240457967,1.4879262933012085,2
2. RMSE (L^2),test,rmse_f,1.119783544109955,2.234042293224716,1.533526582613465,2
3. E_max promedio por curva,train,linf_medio,1.528413201068301,3.16615417301156,2.245998073028663,2
3. E_max promedio por curva,test,linf_medio,1.8022273537819793,3.2498689538641257,2.2646159466632887,2
4. E_max peor de la ventana,train,linf_max,2.5709344758497554,13.04050635567709,5.499174181352705,2
4. E_max peor de la ventana,test,linf_max,2.966275629889453,10.212584169331183,5.495268363760119,2
5. MPIW,train,mpiw,5.516132849151544,6.710177358794867,6.12624455463127,2
5. MPIW,test,mpiw,5.667150012126522,6.5983029364013035,6.097923216633858,2
6. PICP puntual,train,picp,0.7786666666666666,0.9973333333333333,0.9320411764705883,2
6. PICP puntual,test,picp,0.7786666666666666,0.9966666666666667,0.9181067615658363,2
7. PICPB curva completa,train,picp_simultaneo,0.4,0.95,0.7112499999999999,2
7. PICPB curva completa,test,picp_simultaneo,0.4,0.9,0.7176156583629894,2
8. Winkler,train,winkler,5.696313311490426,18.206273350050896,8.316852799861897,2
8. Winkler,test,winkler,6.251458481728966,15.008304701356787,8.481328770447096,2
9. Winkler max promedio,train,winkler_max_medio,8.753601716229593,44.31733844879942,19.350889415478736,2
9. Winkler max promedio,test,winkler_max_medio,11.625622075362942,44.279220380695186,19.48990164820115,2
10. Winkler max peor ventana,train,winkler_max_glob,13.702852147218781,274.1641445296823,84.1592034780833,2
10. Winkler max peor ventana,test,winkler_max_glob,25.29449347594034,223.0605535099506,79.59708917963349,2
1. MAE  (L^1),train,mae_f,0.6682336797271555,1.6202326820906012,1.1118997650236888,3
1. MAE  (L^1),test,mae_f,0.861974550191184,1.7538681069304272,1.159996140257052,3
2. RMSE (L^2),train,rmse_f,0.9034676406090293,2.3402979857586845,1.44517482379735,3
2. RMSE (L^2),test,rmse_f,1.0546537755257173,2.2362041684112124,1.502566618645922,3
3. E_max promedio por curva,train,linf_medio,1.4145670513972028,2.923486909601293,2.028748603986925,3
3. E_max promedio por curva,test,linf_medio,1.583033182539446,2.988983892126222,2.065604488279908,3
4. E_max peor de la ventana,train,linf_max,2.496605239265058,13.609250027785462,5.259742746015413,3
4. E_max peor de la ventana,test,linf_max,2.7305091593803006,11.268096884195739,5.380252313603862,3
5. MPIW,train,mpiw,5.296713868074487,5.529304515811162,5.3880402529711615,3
5. MPIW,test,mpiw,5.284357325629409,5.462039655951833,5.3816561593135015,3
6. PICP puntual,train,picp,0.7766666666666666,1.0,0.9346196078431372,3
6. PICP puntual,test,picp,0.802,0.998,0.9248042704626335,3
7. PICPB curva completa,train,picp_simultaneo,0.5,1.0,0.7744852941176472,3
7. PICPB curva completa,test,picp_simultaneo,0.55,0.95,0.7852313167259786,3
8. Winkler,train,winkler,5.309354539520831,18.263226200025226,7.7145352987346385,3
8. Winkler,test,winkler,5.439525730512021,14.93616889355772,8.03058003143301,3
9. Winkler max promedio,train,winkler_max_medio,6.181859953072424,40.747994955288775,15.471920354009645,3
9. Winkler max promedio,test,winkler_max_medio,6.740097106570372,38.327453419472995,15.621865784680441,3
10. Winkler max peor ventana,train,winkler_max_glob,6.813008218191908,436.2679691347832,106.62302328822692,3
10. Winkler max peor ventana,test,winkler_max_glob,12.492288504176154,334.1632262976861,114.25629724341701,3
