fpc,fourier_alineada,corr_alineacion,var_ratio,ar1_score,phi_generador,es_predecible,retenida
1,1,0.9988527578821864,0.5038290545957005,0.010729990915018271,0.0,False,True
2,2,0.9970434242723418,0.26368680636352254,0.027399914275885517,0.0,False,True
3,3,0.9921729813065777,0.10097548117989326,0.8587848322744077,0.9,True,True
4,4,0.9700215051352364,0.06407360541912717,0.027377965467918604,0.0,False,True
5,5,0.983925698294403,0.03462686072637054,0.03768425594169179,0.0,False,True
6,6,0.9565747921987856,0.015875931889018504,0.06508163063306892,0.0,False,False
7,7,0.9561134842839663,0.00900855051095005,-0.01820014375136305,0.0,False,False
8,8,0.9292760784159385,0.003428500998273465,-0.050155738018511226,0.0,False,False
9,9,0.8971898044868186,0.0024022277858494158,-0.037391008831636346,0.0,False,False
10,10,0.8319287724820958,0.0014327506914168515,-0.09047938517825174,0.0,False,False
11,10,0.027614134203223995,0.00035366359819145117,-0.042537578859746954,0.0,False,False
12,8,0.026634974348782335,0.0003065662416861456,-0.08101572939615874,0.0,False,False
