M,FPC,cadena,media,max,p99,N_trunc,toca_truncamiento
1,1,1,7.1605,25,16.0,25,True
1,1,2,8.698,25,18.0,25,True
2,1,1,7.1605,25,16.0,25,True
2,1,2,8.698,25,18.0,25,True
2,2,1,10.141,25,18.0,25,True
2,2,2,8.3895,21,15.0,25,False
3,1,1,7.1605,25,16.0,25,True
3,1,2,8.698,25,18.0,25,True
3,2,1,10.141,25,18.0,25,True
3,2,2,8.3895,21,15.0,25,False
3,3,1,11.01,25,18.0,25,True
3,3,2,11.261,25,18.00999999999999,25,True
4,1,1,7.1605,25,16.0,25,True
4,1,2,8.698,25,18.0,25,True
4,2,1,10.141,25,18.0,25,True
4,2,2,8.3895,21,15.0,25,False
4,3,1,11.01,25,18.0,25,True
4,3,2,11.261,25,18.00999999999999,25,True
4,4,1,10.944,25,19.0,25,True
4,4,2,10.8385,25,18.0,25,True
5,1,1,7.1605,25,16.0,25,True
5,1,2,8.698,25,18.0,25,True
5,2,1,10.141,25,18.0,25,True
5,2,2,8.3895,21,15.0,25,False
5,3,1,11.01,25,18.0,25,True
5,3,2,11.261,25,18.00999999999999,25,True
5,4,1,10.944,25,19.0,25,True
5,4,2,10.8385,25,18.0,25,True
5,5,1,10.789,24,18.0,25,False
5,5,2,10.7925,25,18.0,25,True
6,1,1,7.1605,25,16.0,25,True
6,1,2,8.698,25,18.0,25,True
6,2,1,10.141,25,18.0,25,True
6,2,2,8.3895,21,15.0,25,False
6,3,1,11.01,25,18.0,25,True
6,3,2,11.261,25,18.00999999999999,25,True
6,4,1,10.944,25,19.0,25,True
6,4,2,10.8385,25,18.0,25,True
6,5,1,10.789,24,18.0,25,False
6,5,2,10.7925,25,18.0,25,True
6,6,1,11.1935,25,19.0,25,True
6,6,2,11.7015,24,20.0,25,False
7,1,1,7.1605,25,16.0,25,True
7,1,2,8.698,25,18.0,25,True
7,2,1,10.141,25,18.0,25,True
7,2,2,8.3895,21,15.0,25,False
7,3,1,11.01,25,18.0,25,True
7,3,2,11.261,25,18.00999999999999,25,True
7,4,1,10.944,25,19.0,25,True
7,4,2,10.8385,25,18.0,25,True
7,5,1,10.789,24,18.0,25,False
7,5,2,10.7925,25,18.0,25,True
7,6,1,11.1935,25,19.0,25,True
7,6,2,11.7015,24,20.0,25,False
7,7,1,11.004,25,19.00999999999999,25,True
7,7,2,11.4215,25,20.0,25,True
8,1,1,7.1605,25,16.0,25,True
8,1,2,8.698,25,18.0,25,True
8,2,1,10.141,25,18.0,25,True
8,2,2,8.3895,21,15.0,25,False
8,3,1,11.01,25,18.0,25,True
8,3,2,11.261,25,18.00999999999999,25,True
8,4,1,10.944,25,19.0,25,True
8,4,2,10.8385,25,18.0,25,True
8,5,1,10.789,24,18.0,25,False
8,5,2,10.7925,25,18.0,25,True
8,6,1,11.1935,25,19.0,25,True
8,6,2,11.7015,24,20.0,25,False
8,7,1,11.004,25,19.00999999999999,25,True
8,7,2,11.4215,25,20.0,25,True
8,8,1,10.6055,24,18.0,25,False
8,8,2,10.5695,22,18.0,25,False
