metrica,bloque,columna,minimo,maximo,promedio
1. MAE  (L^1),train,mae_f,0.619365737296326,1.3233823097219868,1.0307217579038994
1. MAE  (L^1),test,mae_f,0.680082279204797,1.2349016537515844,0.9947807090124878
2. RMSE (L^2),train,rmse_f,0.8024226878098906,1.6905078398235531,1.3534301939499656
2. RMSE (L^2),test,rmse_f,0.894812160269476,1.5834198415902587,1.3027121478826438
3. E_max promedio por curva,train,linf_medio,1.9039861461177978,3.57006227874226,2.8565918018637815
3. E_max promedio por curva,test,linf_medio,2.0874609989696737,3.4534798577010597,2.8986349203427713
4. E_max peor de la ventana,train,linf_max,4.035515279009151,6.30060060961704,5.395152359829572
4. E_max peor de la ventana,test,linf_max,3.690736036541981,6.19447880840747,5.290159145303186
5. MPIW,train,mpiw,4.490890707265209,4.8854101985697005,4.703995081434585
5. MPIW,test,mpiw,4.527531419993808,4.876740674875273,4.726731948517358
6. PICP puntual,train,picp,0.8604444444444445,0.9875555555555555,0.9064106135986734
6. PICP puntual,test,picp,0.8688888888888889,0.9635555555555556,0.9053136531365313
7. PICPB curva completa,train,picp_simultaneo,0.0,0.5666666666666667,0.1608955223880597
7. PICPB curva completa,test,picp_simultaneo,0.0,0.36666666666666664,0.13653136531365315
8. Winkler,train,winkler,4.685831583269066,8.467318746005189,6.879919359027297
8. Winkler,test,winkler,5.135115127892424,8.072456360311643,6.974931378143298
9. Winkler max promedio,train,winkler_max_medio,12.810968188816387,61.02640502464013,39.08516835273803
9. Winkler max promedio,test,winkler_max_medio,18.35859434512861,64.71593281471874,43.20743796870207
10. Winkler max peor ventana,train,winkler_max_glob,82.68080372749009,137.76276550618954,114.5089563343878
10. Winkler max peor ventana,test,winkler_max_glob,64.13105471676839,143.2054438643592,118.4127224910631
