FPC,estrato,n,cobertura,ancho_medio,desvio,crps
FPC 1,pre-quiebre,278,0.9460431654676259,2.934943075386955,-0.013856583905807685,0.4131063934553955
FPC 1,post-quiebre,121,0.9917355371900827,2.913894255908806,0.031835787816649086,0.31540339225127284
FPC 2,pre-quiebre,278,0.9568345323741008,2.7280153367788995,0.00946611132146924,0.3841429296122856
FPC 2,post-quiebre,121,0.9256198347107438,2.771753159818078,-0.0217485863418877,0.43595280752947557
FPC 3,pre-quiebre,278,0.9496402877697842,2.958653419636351,0.007284398045473428,0.406686838749117
FPC 3,post-quiebre,121,0.9256198347107438,2.984546356063244,-0.016736055013566897,0.4620230378358532
FPC 4,pre-quiebre,278,0.9676258992805755,2.9018354747551593,0.010232415571302389,0.4075022487701959
FPC 4,post-quiebre,121,0.9338842975206612,2.932534042253229,-0.023509186188611975,0.4230610854778703
FPC 5,pre-quiebre,278,0.9532374100719424,2.823616304377215,0.0008564576909900756,0.3945117104582673
FPC 5,post-quiebre,121,0.9504132231404959,2.8281415087193986,-0.001967729240456406,0.39739828373769864
