bloque,modelo,RMSE_scores,R2_scores,sd_ratio,MISE,RMSE_func,n
test,(truncamiento FPCA),,,,0.26954010399078165,0.5191725185242201,120
test,FAR1,1.1059928775705141,-0.031907236994072496,0.02018678255004045,3.1738340593692844,1.781525767248199,120
test,GBT,1.259990457324893,-0.33927730602339246,0.3775114015501249,4.033479050049556,2.008352322190894,120
test,RF,1.1970465928012344,-0.20881017668625645,0.26710210741420676,3.6669650182826774,1.9149321184529433,120
test,VAR,1.106797001947686,-0.03340830166111375,0.020179873869842286,3.1780866686379046,1.7827188978181345,120
test,media,1.1080084059399484,-0.03567169781583024,0.0,3.184461346140699,1.7845059109290444,120
test,persistencia,1.485742901864993,-0.8621871525929583,0.9993925464641551,5.520349755176209,2.349542456559619,120
train,(truncamiento FPCA),,,,0.2154160351771933,0.46412933022724745,279
train,FAR1,0.998890781625833,0.00039056343998211673,0.020246601779275005,2.5935396523110716,1.6104470349288336,279
train,GBT,0.7778270044770821,0.39387754922012586,0.4261825163736554,1.656392697319483,1.2870092063848972,279
train,RF,0.8804319746798855,0.2234204501631163,0.31274101314032327,2.062870397235144,1.4362696116102798,279
train,VAR,0.9988812479852843,0.00040964434803481,0.020239672626674986,2.5935013460850604,1.610435141843676,279
train,media,0.9990955762344894,-1.936247512013267e-05,0.0,2.594440715443247,1.6107267662279803,279
train,persistencia,1.4001991550990105,-0.9641468707694518,1.0023540333521248,4.892093429013516,2.2118077287624973,279
