metrica,bloque,columna,minimo,maximo,promedio,M
1. MAE  (L^1),train,mae_f,0.41132706500261706,0.7647964358337191,0.5573700126637732,1
1. MAE  (L^1),test,mae_f,0.4101719056868308,0.6730220743449122,0.5406439047000327,1
2. RMSE (L^2),train,rmse_f,0.9690333143228697,1.8658022480278673,1.44877629056624,1
2. RMSE (L^2),test,rmse_f,1.0706478217031257,1.7414698000133524,1.3981918902496824,1
3. E_max promedio por curva,train,linf_medio,4.672754800848604,10.47155056569484,7.681556365193781,1
3. E_max promedio por curva,test,linf_medio,5.332397911217451,10.4950623548267,7.348746016596558,1
4. E_max peor de la ventana,train,linf_max,9.504156883402784,28.127968083649645,19.698383051349428,1
4. E_max peor de la ventana,test,linf_max,11.255982377669085,23.88401785822674,18.83993860112397,1
5. MPIW,train,mpiw,2.0343023649422,2.5468246219447064,2.203065189089894,1
5. MPIW,test,mpiw,2.0011567075924166,2.405160532660531,2.169000088532955,1
6. PICP puntual,train,picp,0.402,0.7365,0.6109037037037036,1
6. PICP puntual,test,picp,0.475,0.745,0.6122941176470589,1
7. PICPB curva completa,train,picp_simultaneo,0.0,0.0,0.0,1
7. PICPB curva completa,test,picp_simultaneo,0.0,0.0,0.0,1
8. Winkler,train,winkler,2.523751227991905,8.794575645557911,4.159948960955333,1
8. Winkler,test,winkler,2.359214039128658,6.437149141079095,4.027565133910555,1
9. Winkler max promedio,train,winkler_max_medio,26.68772933847319,112.4949233693911,56.78682004738373,1
9. Winkler max promedio,test,winkler_max_medio,28.366156826559227,83.80773083421298,53.993005095612546,1
10. Winkler max peor ventana,train,winkler_max_glob,34.77845271279952,677.567551362954,285.21270354617786,1
10. Winkler max peor ventana,test,winkler_max_glob,60.74097662167726,454.1395028174451,265.8547626287532,1
1. MAE  (L^1),train,mae_f,0.4040180938183139,0.5944789060862689,0.49899570330402104,2
1. MAE  (L^1),test,mae_f,0.40760671057375675,0.5582442391783355,0.48866546195256827,2
2. RMSE (L^2),train,rmse_f,0.9898686538063657,1.7171863690229185,1.3731430148689685,2
2. RMSE (L^2),test,rmse_f,1.0621732102578716,1.6368822805783114,1.3366400859174214,2
3. E_max promedio por curva,train,linf_medio,5.004700811548739,10.041368916607123,7.425891157446164,2
3. E_max promedio por curva,test,linf_medio,5.373065099399672,9.64323712290796,7.193296948391918,2
4. E_max peor de la ventana,train,linf_max,9.882643939680822,27.95871616606069,19.260465866708582,2
4. E_max peor de la ventana,test,linf_max,11.995608637524207,21.454004452252775,18.153624818862966,2
5. MPIW,train,mpiw,2.4573113729025895,3.0486798229807865,2.6822488569039424,2
5. MPIW,test,mpiw,2.5300791766709163,2.935080869424159,2.6604798788863566,2
6. PICP puntual,train,picp,0.7025,0.8605,0.7959962962962963,2
6. PICP puntual,test,picp,0.727,0.862,0.7979117647058824,2
7. PICPB curva completa,train,picp_simultaneo,0.0,0.1,0.01611111111111111,2
7. PICPB curva completa,test,picp_simultaneo,0.0,0.1,0.013574660633484163,2
8. Winkler,train,winkler,2.5316526078959884,4.089732626331381,3.0553408599494563,2
8. Winkler,test,winkler,2.564387030438609,3.5234733908731144,2.9634953795639016,2
9. Winkler max promedio,train,winkler_max_medio,29.33176596946408,89.9773504481168,45.118371040603044,2
9. Winkler max promedio,test,winkler_max_medio,29.74343093656512,58.509015971721304,41.16497706810667,2
10. Winkler max peor ventana,train,winkler_max_glob,35.773711135103426,615.316559489387,209.17092385707903,2
10. Winkler max peor ventana,test,winkler_max_glob,34.873404552398625,327.82691450959413,172.43448176923482,2
1. MAE  (L^1),train,mae_f,0.39312266157671577,0.568294472064445,0.4851047923226952,3
1. MAE  (L^1),test,mae_f,0.40477700031619185,0.543777517615627,0.4748771106802532,3
2. RMSE (L^2),train,rmse_f,0.9774665483094331,1.7094352603745762,1.3689740272398643,3
2. RMSE (L^2),test,rmse_f,1.0695347117695877,1.6346446277420383,1.3294895368982644,3
3. E_max promedio por curva,train,linf_medio,4.802743922538377,10.16280709496874,7.4465493220905,3
3. E_max promedio por curva,test,linf_medio,5.35044654138162,9.807868377938616,7.199183858096132,3
4. E_max peor de la ventana,train,linf_max,9.361391564268704,28.144297689861535,19.108216736505177,3
