kn,hs,condicion,lambda_kn,radio_espectral
1,0.5117323293679436,1.0,1.9019067564446615,0.5117323293679436
2,0.7416213441433241,3.326521444076124,0.5717404166540339,0.7247623479734351
3,0.7836681987488605,16.501684095451747,0.11525531245437377,0.7468225362472551
4,0.8383618822361247,93.00869945490976,0.02044869746153905,0.7483933374447312
5,0.9501131907194217,567.613150612947,0.003350709465400606,0.751093321668286
6,2.304627121546715,1857.2697143383944,0.00102403368867842,0.7562699386153716
7,3.7835415955446168,3002.7371142984757,0.0006333910309324566,0.7560460264632247
8,5.025354699790082,3140.7256283080424,0.0006055628480572651,0.7574006377150418
9,5.340022092809619,3203.6177933052886,0.0005936746763047521,0.7569923461111169
10,6.1142510591558095,3836.4575565320542,0.0004957455487045398,0.7570259468610264
