M,metrica,columna,banda,bloque,minimo,maximo,promedio
1,5. MPIW,mpiw,FAR (IC del modelo AR),test,2.7782494557927664,2.7782494557927664,2.7782494557927664
1,5. MPIW,mpiw,FAR (IC del modelo AR),train,2.778249455792766,2.7782494557927664,2.7782494557927664
1,5. MPIW,mpiw,"PSBPM-FD (IC gaussiano, mismo mecanismo)",test,2.8774664437311905,2.8774664437311905,2.8774664437311905
1,5. MPIW,mpiw,"PSBPM-FD (IC gaussiano, mismo mecanismo)",train,2.8774664437311905,2.8774664437311905,2.8774664437311905
1,5. MPIW,mpiw,PSBPM-FD (predictiva bayesiana),test,2.00115670811975,2.405160532508851,2.169000089463766
1,5. MPIW,mpiw,PSBPM-FD (predictiva bayesiana),train,2.0343023632803816,2.546824623166256,2.203065188953388
1,6. PICP puntual,picp,FAR (IC del modelo AR),test,0.914,0.9985,0.9587986425339367
1,6. PICP puntual,picp,FAR (IC del modelo AR),train,0.825,0.994,0.9512416666666665
1,6. PICP puntual,picp,"PSBPM-FD (IC gaussiano, mismo mecanismo)",test,0.9175,0.998,0.9577714932126696
1,6. PICP puntual,picp,"PSBPM-FD (IC gaussiano, mismo mecanismo)",train,0.8145,0.9945,0.9507342592592591
1,6. PICP puntual,picp,PSBPM-FD (predictiva bayesiana),test,0.475,0.745,0.6122941176470589
1,6. PICP puntual,picp,PSBPM-FD (predictiva bayesiana),train,0.402,0.7365,0.6109037037037036
1,7. PICPB curva completa,picp_simultaneo,FAR (IC del modelo AR),test,0.15,0.9,0.570814479638009
1,7. PICPB curva completa,picp_simultaneo,FAR (IC del modelo AR),train,0.2,0.9,0.5349074074074075
1,7. PICPB curva completa,picp_simultaneo,"PSBPM-FD (IC gaussiano, mismo mecanismo)",test,0.15,0.85,0.5687782805429864
1,7. PICPB curva completa,picp_simultaneo,"PSBPM-FD (IC gaussiano, mismo mecanismo)",train,0.15,0.9,0.5378703703703703
1,7. PICPB curva completa,picp_simultaneo,PSBPM-FD (predictiva bayesiana),test,0.0,0.0,0.0
1,7. PICPB curva completa,picp_simultaneo,PSBPM-FD (predictiva bayesiana),train,0.0,0.0,0.0
1,8. Winkler,winkler,FAR (IC del modelo AR),test,2.626431552624755,3.3203524506172455,2.9188857749904735
1,8. Winkler,winkler,FAR (IC del modelo AR),train,2.62883676818981,4.493752749228092,3.069711678643561
1,8. Winkler,winkler,"PSBPM-FD (IC gaussiano, mismo mecanismo)",test,2.7256853667613967,3.379762005880051,3.0234284152963915
1,8. Winkler,winkler,"PSBPM-FD (IC gaussiano, mismo mecanismo)",train,2.7260568883285954,4.661231855923214,3.207049482435752
1,8. Winkler,winkler,PSBPM-FD (predictiva bayesiana),test,2.359214024439923,6.437149101726442,4.027565130029765
1,8. Winkler,winkler,PSBPM-FD (predictiva bayesiana),train,2.5237512137981475,8.794575649351032,4.159948957974888
1,9. Winkler max promedio,winkler_max_medio,FAR (IC del modelo AR),test,35.54949618850858,54.39219159186388,41.41397872872545
1,9. Winkler max promedio,winkler_max_medio,FAR (IC del modelo AR),train,35.54949618850858,70.08885502942624,43.16789598794291
1,9. Winkler max promedio,winkler_max_medio,"PSBPM-FD (IC gaussiano, mismo mecanismo)",test,35.8165651537321,51.093719218071826,41.39604532448799
1,9. Winkler max promedio,winkler_max_medio,"PSBPM-FD (IC gaussiano, mismo mecanismo)",train,35.8165651537321,74.3069363139255,43.86371504120713
1,9. Winkler max promedio,winkler_max_medio,PSBPM-FD (predictiva bayesiana),test,28.366156413977784,83.80773354985415,53.99300523653132
1,9. Winkler max promedio,winkler_max_medio,PSBPM-FD (predictiva bayesiana),train,26.687728802805147,112.49492289346509,56.786819976473865
1,10. Winkler max peor ventana,winkler_max_glob,FAR (IC del modelo AR),test,35.549496188508584,324.57473988683876,132.3843476205331
1,10. Winkler max peor ventana,winkler_max_glob,FAR (IC del modelo AR),train,35.549496188508584,486.70324079290424,141.17880895829956
1,10. Winkler max peor ventana,winkler_max_glob,"PSBPM-FD (IC gaussiano, mismo mecanismo)",test,35.81656515373211,265.8869977347447,122.54759214397792
1,10. Winkler max peor ventana,winkler_max_glob,"PSBPM-FD (IC gaussiano, mismo mecanismo)",train,35.81656515373211,434.40924595607277,150.21956543419992
1,10. Winkler max peor ventana,winkler_max_glob,PSBPM-FD (predictiva bayesiana),test,60.74096297823259,454.13951135568703,265.85475980378567
1,10. Winkler max peor ventana,winkler_max_glob,PSBPM-FD (predictiva bayesiana),train,34.778451919555664,677.5675447048146,285.2127019918242
2,5. MPIW,mpiw,FAR (IC del modelo AR),test,2.53103555449882,2.53103555449882,2.53103555449882
2,5. MPIW,mpiw,FAR (IC del modelo AR),train,2.53103555449882,2.53103555449882,2.53103555449882
