grupo,t,banda,rmse_f_PSBPM,mpiw,picp_puntual,I_t_simultaneo
mejores,694,FAR (IC del modelo AR),0.21278202643753064,2.604615583791848,1.0,1.0
mejores,694,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.21278202643753064,2.630335524477417,1.0,1.0
mejores,694,PSBPM-FD (predictiva bayesiana),0.21278202643753064,2.676020598760806,1.0,1.0
mejores,578,FAR (IC del modelo AR),0.21804196324912736,2.604615583791847,1.0,1.0
mejores,578,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.21804196324912736,2.630335524477417,1.0,1.0
mejores,578,PSBPM-FD (predictiva bayesiana),0.21804196324912736,2.8999356111325323,1.0,1.0
mejores,798,FAR (IC del modelo AR),0.23552151767360865,2.604615583791847,1.0,1.0
mejores,798,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.23552151767360865,2.630335524477417,1.0,1.0
mejores,798,PSBPM-FD (predictiva bayesiana),0.23552151767360865,2.7014826786704362,1.0,1.0
mejores,571,FAR (IC del modelo AR),0.26455351718979236,2.604615583791847,1.0,1.0
mejores,571,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.26455351718979236,2.630335524477417,1.0,1.0
mejores,571,PSBPM-FD (predictiva bayesiana),0.26455351718979236,2.793026734888554,1.0,1.0
mejores,707,FAR (IC del modelo AR),0.2707115299135864,2.604615583791847,1.0,1.0
mejores,707,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.2707115299135864,2.630335524477417,1.0,1.0
mejores,707,PSBPM-FD (predictiva bayesiana),0.2707115299135864,2.912620791234076,1.0,1.0
peores,748,FAR (IC del modelo AR),3.3596633956826056,2.604615583791848,0.63,0.0
peores,748,"PSBPM-FD (IC gaussiano, mismo mecanismo)",3.3596633956826056,2.630335524477417,0.59,0.0
peores,748,PSBPM-FD (predictiva bayesiana),3.3596633956826056,3.1873039729724404,0.9,0.0
peores,688,FAR (IC del modelo AR),2.8228095039248213,2.604615583791848,0.87,0.0
peores,688,"PSBPM-FD (IC gaussiano, mismo mecanismo)",2.8228095039248213,2.630335524477417,0.88,0.0
peores,688,PSBPM-FD (predictiva bayesiana),2.8228095039248213,2.64163935393095,0.89,0.0
peores,714,FAR (IC del modelo AR),2.816686215682685,2.604615583791847,0.92,0.0
peores,714,"PSBPM-FD (IC gaussiano, mismo mecanismo)",2.816686215682685,2.630335524477417,0.95,0.0
peores,714,PSBPM-FD (predictiva bayesiana),2.816686215682685,2.7957522416021674,0.95,0.0
peores,780,FAR (IC del modelo AR),2.6911741859550293,2.604615583791847,0.86,0.0
peores,780,"PSBPM-FD (IC gaussiano, mismo mecanismo)",2.6911741859550293,2.630335524477417,0.83,0.0
peores,780,PSBPM-FD (predictiva bayesiana),2.6911741859550293,3.626616362929344,0.86,0.0
peores,564,FAR (IC del modelo AR),2.5659521539201138,2.604615583791848,0.66,0.0
peores,564,"PSBPM-FD (IC gaussiano, mismo mecanismo)",2.5659521539201138,2.630335524477418,0.7,0.0
peores,564,PSBPM-FD (predictiva bayesiana),2.5659521539201138,2.8682151017710567,0.75,0.0
