metrica,bloque,columna,minimo,maximo,promedio
1. MAE  (L^1),train,mae_f,0.37269530681546514,0.6480068267862668,0.4929483898012839
1. MAE  (L^1),test,mae_f,0.3976547498267246,0.6611093112512113,0.5098259276396601
2. RMSE (L^2),train,rmse_f,0.8100470775011016,1.5914965663959537,1.2181128429733437
2. RMSE (L^2),test,rmse_f,0.9705168728083057,1.5454164723851422,1.250342311766118
3. E_max promedio por curva,train,linf_medio,4.24084462549534,9.064456019452171,6.717740954088366
3. E_max promedio por curva,test,linf_medio,4.280871073819666,8.466995238631888,6.684045224273794
4. E_max peor de la ventana,train,linf_max,9.492479137975177,26.39805978638545,18.051075194556773
4. E_max peor de la ventana,test,linf_max,11.457449840535645,25.44004867241765,17.02846522178677
5. MPIW,train,mpiw,2.755783669712816,2.953328568324219,2.8451871591418088
5. MPIW,test,mpiw,2.7930911879261036,2.9763330823531478,2.8502260276614213
6. PICP puntual,train,picp,0.883,0.998,0.9685175925925924
6. PICP puntual,test,picp,0.9175,0.9965,0.9595746606334841
7. PICPB curva completa,train,picp_simultaneo,0.45,0.95,0.7221296296296296
7. PICPB curva completa,test,picp_simultaneo,0.5,0.95,0.7176470588235295
8. Winkler,train,winkler,2.633094422052802,4.117644223534173,3.1311962625557817
8. Winkler,test,winkler,2.673851036510812,4.128862421228566,3.266225648562374
9. Winkler max promedio,train,winkler_max_medio,29.46887448358536,82.85211293040369,41.88248059881389
9. Winkler max promedio,test,winkler_max_medio,29.67092135087227,57.221865214400374,39.38465819082723
10. Winkler max peor ventana,train,winkler_max_glob,30.95162250324274,521.5578382079117,185.87318660353273
10. Winkler max peor ventana,test,winkler_max_glob,31.331624957609115,446.03606593641814,152.83869334435425
