grupo,t,banda,rmse_f_PSBPM,mpiw,picp_puntual,I_t_simultaneo
mejores,597,FAR (IC del modelo AR),0.14388646413533782,3.912562880168518,1.0,1.0
mejores,597,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.14388646413533782,3.8824008317727805,1.0,1.0
mejores,597,PSBPM-FD (predictiva bayesiana),0.14388646413533782,3.794344559907913,1.0,1.0
mejores,592,FAR (IC del modelo AR),0.20870361348384775,3.912562880168518,1.0,1.0
mejores,592,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.20870361348384775,3.8824008317727805,1.0,1.0
mejores,592,PSBPM-FD (predictiva bayesiana),0.20870361348384775,3.7930395237356422,1.0,1.0
mejores,668,FAR (IC del modelo AR),0.2182655616921999,3.912562880168518,1.0,1.0
mejores,668,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.2182655616921999,3.8824008317727805,1.0,1.0
mejores,668,PSBPM-FD (predictiva bayesiana),0.2182655616921999,3.863308459967375,1.0,1.0
mejores,742,FAR (IC del modelo AR),0.2292084595033933,3.912562880168518,1.0,1.0
mejores,742,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.2292084595033933,3.8824008317727805,1.0,1.0
mejores,742,PSBPM-FD (predictiva bayesiana),0.2292084595033933,4.18106386821717,1.0,1.0
mejores,644,FAR (IC del modelo AR),0.23417950634860166,3.912562880168518,1.0,1.0
mejores,644,"PSBPM-FD (IC gaussiano, mismo mecanismo)",0.23417950634860166,3.8824008317727805,1.0,1.0
mejores,644,PSBPM-FD (predictiva bayesiana),0.23417950634860166,3.9162515951134265,1.0,1.0
peores,647,FAR (IC del modelo AR),2.7532453410046482,3.912562880168518,0.13,0.0
peores,647,"PSBPM-FD (IC gaussiano, mismo mecanismo)",2.7532453410046482,3.8824008317727805,0.14,0.0
peores,647,PSBPM-FD (predictiva bayesiana),2.7532453410046482,3.8319072726368906,0.14,0.0
peores,738,FAR (IC del modelo AR),2.6921121781026285,3.912562880168518,0.02,0.0
peores,738,"PSBPM-FD (IC gaussiano, mismo mecanismo)",2.6921121781026285,3.8824008317727805,0.01,0.0
peores,738,PSBPM-FD (predictiva bayesiana),2.6921121781026285,3.8976209454028865,0.0,0.0
peores,663,FAR (IC del modelo AR),2.467021859978011,3.912562880168518,0.28,0.0
peores,663,"PSBPM-FD (IC gaussiano, mismo mecanismo)",2.467021859978011,3.8824008317727805,0.29,0.0
peores,663,PSBPM-FD (predictiva bayesiana),2.467021859978011,3.8315492592984812,0.31,0.0
peores,745,FAR (IC del modelo AR),2.4260512676268844,3.912562880168518,0.25,0.0
peores,745,"PSBPM-FD (IC gaussiano, mismo mecanismo)",2.4260512676268844,3.8824008317727805,0.25,0.0
peores,745,PSBPM-FD (predictiva bayesiana),2.4260512676268844,3.9613078436721114,0.24,0.0
peores,613,FAR (IC del modelo AR),2.3844314329271183,3.912562880168518,0.16,0.0
peores,613,"PSBPM-FD (IC gaussiano, mismo mecanismo)",2.3844314329271183,3.8824008317727805,0.18,0.0
peores,613,PSBPM-FD (predictiva bayesiana),2.3844314329271183,3.9034057844569907,0.19,0.0
