metrica,bloque,columna,minimo,maximo,promedio
1. MAE   (L^1),train,mae_f,0.45149277034271795,1.0461734886030187,0.787342480002934
1. MAE   (L^1),test,mae_f,0.6534269678231215,1.1685783110142616,0.8850333598816003
2. RMSE  (L^2),train,rmse_f,0.6406049132556608,1.2607354826085402,0.9830451675979806
2. RMSE  (L^2),test,rmse_f,0.8006843279941956,1.4249193395055275,1.1043540073906186
"3. Error maximo (L^inf, prom. por curva)",train,linf_medio,0.8689378792529778,1.653795071204851,1.324768982684038
"3. Error maximo (L^inf, prom. por curva)",test,linf_medio,1.103845651239788,1.9227559873363105,1.5038683332984208
4. Winkler,train,winkler,3.8571893981140084,6.3622413283748305,4.643105323202756
4. Winkler,test,winkler,3.8829735787091257,8.215212772259617,5.388809625173491
6a. PICP puntual,train,picp,0.864,1.0,0.9471157407407408
6a. PICP puntual,test,picp,0.8035,1.0,0.9174253393665158
6b. PICP simultaneo (curva completa),train,picp_simultaneo,0.65,1.0,0.840925925925926
6b. PICP simultaneo (curva completa),test,picp_simultaneo,0.5,1.0,0.7506787330316741
7. MPIW,train,mpiw,3.853591928050575,4.036788157629939,3.9172867946392755
7. MPIW,test,mpiw,3.882581205583733,4.226207656199133,4.012922788978581
